target,wind_bin,wind_mid,rows,mean_actual_ratio,p10_actual_ratio,p90_actual_ratio
kpx_group_1,"(0.0149, 1.675]",1.1242142683955119,1456,0.03589346141127391,0.0,0.11182162037037038
kpx_group_1,"(1.675, 2.449]",2.076580973336323,1456,0.03775874885531135,0.0,0.1121564351851852
kpx_group_1,"(2.449, 3.077]",2.773238598462571,1455,0.04405768273514064,0.0,0.12159767592592602
kpx_group_1,"(3.077, 3.707]",3.3908085350212187,1456,0.049357935077075706,0.0,0.14563594907407407
kpx_group_1,"(3.707, 4.324]",4.026189894043181,1455,0.06664934905180094,0.0,0.18119124074074083
kpx_group_1,"(4.324, 5.075]",4.6976790002945545,1456,0.08538292401175214,0.0,0.23201317129629628
kpx_group_1,"(5.075, 5.827]",5.450562575403913,1455,0.12312874408171057,0.0,0.2970304074074075
kpx_group_1,"(5.827, 6.583]",6.204788106858974,1456,0.15625559867216118,0.0026783796296296295,0.3843450231481481
kpx_group_1,"(6.583, 7.364]",6.970135058641224,1455,0.20183440820287643,0.006294148148148153,0.4775520462962965
kpx_group_1,"(7.364, 8.185]",7.760283842606856,1456,0.2508476941519129,0.01941814814814815,0.5467207638888889
kpx_group_1,"(8.185, 9.082]",8.627192669030538,1455,0.3160569078210513,0.05115672222222223,0.6181660925925928
kpx_group_1,"(9.082, 10.15]",9.606365910113839,1456,0.4103661678685897,0.10914328703703703,0.7271754398148148
kpx_group_1,"(10.15, 11.262]",10.70830212755811,1455,0.47512081195112643,0.15400583333333331,0.7911883055555557
kpx_group_1,"(11.262, 12.415]",11.852317372125002,1456,0.5485055689102564,0.21996053240740743,0.8620979398148148
kpx_group_1,"(12.415, 13.712]",13.052138023139246,1455,0.6097195761741122,0.286183037037037,0.9130537870370371
kpx_group_1,"(13.712, 15.256]",14.457769079637433,1456,0.6614585202037545,0.36459210648148144,0.9300613888888889
kpx_group_1,"(15.256, 17.327]",16.179559165260883,1455,0.6998980188048874,0.4738023240740741,0.9210888796296297
kpx_group_1,"(17.327, 29.382]",19.61772726086045,1456,0.746083096001221,0.5212763194444445,0.9404400694444446
kpx_group_2,"(0.0149, 1.675]",1.1242142683955119,1456,0.03476628564433252,0.0,0.11115203703703704
kpx_group_2,"(1.675, 2.449]",2.076580973336323,1456,0.039901806922822546,0.0,0.11115203703703704
kpx_group_2,"(2.449, 3.077]",2.773238598462571,1455,0.045320010786559756,0.0,0.12400817592592611
kpx_group_2,"(3.077, 3.707]",3.3908085350212187,1456,0.05183348977411478,0.0,0.14496636574074073
kpx_group_2,"(3.707, 4.325]",4.026189894043181,1455,0.07128079915998473,0.0,0.202618138888889
kpx_group_2,"(4.325, 5.075]",4.6976790002945545,1456,0.09041405111670736,0.0,0.24272659722222223
kpx_group_2,"(5.075, 5.827]",5.450562575403913,1455,0.12824616641211659,0.0,0.32555498148148165
kpx_group_2,"(5.827, 6.583]",6.204788106858974,1456,0.16413754521520146,0.00200875,0.418159375
kpx_group_2,"(6.583, 7.364]",6.970405795407115,1456,0.20867222110933048,0.0026783796296296295,0.5045365509259259
kpx_group_2,"(7.364, 8.185]",7.7605559773510695,1455,0.26538017143948067,0.01941814814814815,0.6043725185185186
kpx_group_2,"(8.185, 9.082]",8.62750496462243,1456,0.34063906288156287,0.04854532407407407,0.6856608333333333
kpx_group_2,"(9.082, 10.152]",9.606726371185513,1455,0.4460518344469899,0.10981287037037038,0.7802070185185187
kpx_group_2,"(10.152, 11.263]",10.70905940802183,1456,0.515714942670177,0.15969738425925928,0.832970763888889
kpx_group_2,"(11.263, 12.415]",11.85324968030101,1455,0.5911380901107293,0.22926783333333334,0.8805117129629629
kpx_group_2,"(12.415, 13.712]",13.053338184301175,1456,0.6542148927172364,0.3070073148148148,0.9159999999999999
kpx_group_2,"(13.712, 15.256]",14.45750715603854,1455,0.7053766964172076,0.3953263055555556,0.9307309722222222
kpx_group_2,"(15.256, 17.327]",16.178924897595756,1456,0.754449760823667,0.49382310185185185,0.9377616898148147
kpx_group_2,"(17.327, 29.382]",19.61772726086045,1456,0.7898033183251933,0.5738391898148147,0.9424488194444445
kpx_group_3,"(0.0484, 1.619]",1.0886798317034756,975,0.015899230036630036,0.0,0.05206737142857144
kpx_group_3,"(1.619, 2.366]",2.0006881620913557,974,0.018198093478048304,0.0,0.053720285714285713
kpx_group_3,"(2.366, 3.044]",2.7188385900364955,974,0.022419520484990713,0.0,0.061089623809523846
kpx_group_3,"(3.044, 3.635]",3.3356609359617115,975,0.02634025304029304,0.0,0.08305984761904764
kpx_group_3,"(3.635, 4.246]",3.948074006069738,974,0.0402343634008018,0.0,0.10998886190476194
kpx_group_3,"(4.246, 4.94]",4.575486923887326,974,0.05014446230566149,0.0,0.13801985238095243
kpx_group_3,"(4.94, 5.658]",5.300385888397483,974,0.08263742343795834,0.0,0.21398586190476196
kpx_group_3,"(5.658, 6.39]",6.0229140409261515,975,0.10572268136752137,0.0,0.2768661428571429
kpx_group_3,"(6.39, 7.161]",6.774289025062054,974,0.14734121071673023,0.0013774285714285713,0.3740448095238096
kpx_group_3,"(7.161, 7.976]",7.56432737250813,974,0.1880564072553046,0.006198476190476191,0.4242526190476191
kpx_group_3,"(7.976, 8.882]",8.436412543527892,975,0.2616711960927961,0.03264540952380953,0.5635121714285714
kpx_group_3,"(8.882, 9.906]",9.380542555116635,974,0.3384841398748411,0.08147580476190477,0.665994
kpx_group_3,"(9.906, 11.006]",10.445237714724746,974,0.4060114034418696,0.12417653333333334,0.7252240476190476
kpx_group_3,"(11.006, 12.16]",11.586366102029123,974,0.47403222733939576,0.1345073761904762,0.7973332428571429
kpx_group_3,"(12.16, 13.407]",12.741532214655061,975,0.5690749336752136,0.22645172380952383,0.9071843619047619
kpx_group_3,"(13.407, 14.991]",14.135580384336576,974,0.6341642896743913,0.29615038095238094,0.937350380952381
kpx_group_3,"(14.991, 17.237]",16.008498291761967,974,0.6802216752713406,0.3633696238095238,0.9546373000000001
kpx_group_3,"(17.237, 29.382]",19.707447728530223,975,0.7082348826373627,0.3694303904761905,0.9710977619047619
