source,feature,month,train2024_mean,test2025_mean,mean_delta,pooled_std,z_delta_vs_2024,test_above_train_p90_rate,spearman_corr,weighted_abs_shift,weighted_shift_risk
ldaps,wind50max_speed,1,9.116902335441877,9.454716537246563,0.3378142018046901,4.320842648717165,0.0781824817959531,0.1229838709677419,0.8263124368994054,0.0646031570556574,0.0646031570556574
ldaps,wind50max_speed,2,6.915823420004453,10.4581817823612,3.5423583623567483,3.9567248595495808,0.8952753823435482,0.3256138392857143,0.8263124368994054,0.7397771828803442,0.7397771828803442
ldaps,wind50max_speed,3,9.010113789187647,8.35253004222453,-0.6575837469631196,4.616078302147866,-0.1424550676522731,0.0665322580645161,0.8263124368994054,0.1177123941004194,0.1177123941004194
ldaps,wind50max_speed,4,6.022475190739957,8.978158708819732,2.955683518079775,3.054599025889684,0.9676175144628956,0.4145514603616133,0.8263124368994054,0.7995543863623809,0.7995543863623809
ldaps,wind50max_speed,5,8.144428693382437,8.179244263826847,0.0348155704444099,4.195829306464582,0.0082976612948652,0.1410450268817204,0.8263124368994054,0.0068564607251259,0.0068564607251259
ldaps,wind50max_speed,6,5.629531288849794,7.096571413289551,1.467040124439757,3.5062352346729955,0.4184089274769295,0.2383518776077886,0.8263124368994054,0.3457365004839282,0.3457365004839282
ldaps,wind50max_speed,7,10.190608832119906,6.883743300025649,-3.3068655320942577,5.285491212380972,-0.6256496129862931,0.0025235531628532,0.8263124368994054,0.5169820563518737,0.5169820563518737
ldaps,wind50max_speed,8,5.009896146759998,6.958957098981897,1.949060952221899,3.198069559513302,0.6094492053228096,0.2702452956989247,0.8263124368994054,0.5035954580166968,0.5035954580166968
ldaps,wind50max_speed,9,4.779807943789915,6.048366491426547,1.2685585476366326,2.2902815084484898,0.5538876083150613,0.2140625,0.8263124368994054,0.4576842193952017,0.4576842193952017
ldaps,wind50max_speed,10,5.785733713999041,5.567355064070167,-0.2183786499288738,3.4779424671522303,-0.062789609640925,0.0650201612903225,0.8263124368994054,0.0518838353543551,0.0518838353543551
ldaps,wind50max_speed,11,7.205693235442724,8.75369265679792,1.547999421355196,4.923549442549625,0.3144072054325036,0.08671875,0.8263124368994054,0.259798584099664,0.259798584099664
ldaps,wind50max_speed,12,10.374153602464965,9.802701210751424,-0.5714523917135388,4.06425388816627,-0.1406045014158219,0.0792170698924731,0.8263124368994054,0.1161832482039336,0.1161832482039336
gfs,wind850_speed,1,9.618635180858956,11.112766659423324,1.494131478564368,5.520007174312678,0.2706756406489152,0.1833930704898446,0.8123829516584613,0.2198922758924107,0.2198922758924107
gfs,wind850_speed,2,6.982974718938828,11.212618762059517,4.229644043120689,5.365881147551855,0.7882478060965226,0.2711640211640211,0.8123829516584613,0.6403590793549995,0.6403590793549995
gfs,wind850_speed,3,10.705698344751577,9.897040739125236,-0.8086576056263404,6.230915179165012,-0.1297815139902008,0.0997610513739545,0.8123829516584613,0.1054322894060632,0.1054322894060632
gfs,wind850_speed,4,5.716443881329725,10.727529556281604,5.011085674951878,4.075546254256258,1.2295494545029513,0.4175925925925925,0.8123829516584613,0.9988650150591586,0.9988650150591586
gfs,wind850_speed,5,8.247631223676384,8.62274955991314,0.3751183362367563,5.729461733248135,0.0654718285305002,0.1294802867383512,0.8123829516584613,0.0531881973120844,0.0531881973120844
gfs,wind850_speed,6,5.657444845586052,8.10678779888677,2.449342953300719,4.397885872040388,0.5569364517427589,0.2262345679012345,0.8123829516584613,0.4524456785529726,0.4524456785529726
gfs,wind850_speed,7,11.724161151873224,6.525402010415484,-5.19875914145774,7.16818219228614,-0.7252548834943118,0.0,0.8123829516584613,0.5891847029578224,0.5891847029578224
gfs,wind850_speed,8,4.314432922180859,6.0645364452163,1.750103523035441,3.937320192036238,0.4444910338079109,0.1686081242532855,0.8123829516584613,0.3610969380305915,0.3610969380305915
gfs,wind850_speed,9,4.543865556552122,6.070527313346459,1.5266617567943372,3.1883914178198207,0.4788188011619443,0.2050925925925926,0.8123829516584613,0.3889842309975062,0.3889842309975062
gfs,wind850_speed,10,5.69415221881181,5.14022566533957,-0.5539265534722402,5.087563387116421,-0.1088785556492735,0.0551075268817204,0.8123829516584613,0.0884510824106668,0.0884510824106668
gfs,wind850_speed,11,7.766408325057834,9.891561523704434,2.1251531986466,6.745100003537615,0.3150662254402381,0.0989197530864197,0.8123829516584613,0.2559544301910308,0.2559544301910308
gfs,wind850_speed,12,12.168869222498166,11.881757974014455,-0.2871112484837095,5.94953578489788,-0.0482577563722275,0.0849761051373954,0.8123829516584613,0.039203778562085,0.039203778562085
