kpx_group_1,kpx_group_2,kpx_group_3
2840.557190969445,3520.869443654662,2029.312235524089
2380.7039648893424,2783.9032083901634,781.1269058026586
1804.9344183214992,1965.5288243343666,598.6285302087726
1324.139834420142,1479.56262141465,377.2779340919581
1414.203373624254,1162.9971872242718,235.27012391455253
998.1292406499381,797.0913859589651,48.54556475007826
742.0090140697992,700.9626863375353,21.188889546794783
617.0215263262364,220.20131937811715,42.39415186715107
473.197197062992,179.49602283881498,68.10436631572615
22.77239359691475,41.04040467392741,0.0
92.56577591383206,62.49226469242764,0.0
0.0,151.3817627959678,0.0
233.6448220473601,266.3382351848544,0.0
151.0542081760983,478.3114334803158,331.9869630357137
1684.1238552152765,1850.9106622968065,1180.9102772970507
2966.040518793549,3007.745834626631,1881.3795291552265
3950.338422171695,4772.798084275303,2487.829199915128
5036.096097979476,5832.818240602241,4084.6294741430006
9601.355183017711,11437.05157454224,6473.970859288592
13983.752083512929,14740.927467059184,9894.133577180675
16581.466545725467,17519.311514174995,11646.668967785428
16172.147649392571,17408.678194056243,12013.53325570201
16126.927397913472,17592.49397368842,12372.567312233075
17417.89892939131,19661.070742334618,15386.523813433929
15828.593791811103,17861.715205627224,14363.623070809668
19850.239626690138,19923.716692064594,15303.486552472154
18027.318690824646,18928.948366763394,14702.488800764797
17839.24803794659,18189.290146452124,15000.065388099096
19592.41034314524,19504.68457460661,15009.976201511368
19611.22357258139,19445.52648485556,13894.491335141372
18798.387671688553,19642.24514569531,14370.333927593188
18255.283888389793,18805.322733090663,14255.068144319042
17103.73716115048,17081.288870807624,14336.080875450636
15860.286812567812,16259.193077238666,14753.549076728224
15709.59975116131,16426.98395115304,15217.927303024591
15716.503570940204,16870.92584940719,15163.66187425816
17257.36440245606,18084.444988618754,15028.621984160218
17673.115683373897,18217.92873958519,14417.8063181777
16606.881037357794,18386.941131957636,12757.528090843998
15215.342767865417,17721.70231593773,12632.73155599036
15997.254730481816,16490.621912562798,11974.467857087282
14415.04632090966,16851.873464147702,11100.234182658714
15059.392020812365,17584.48173698746,11377.235257661365
13337.53587212743,14748.82489327295,9313.46059107529
13204.489649193378,12001.31859097932,7116.870169249637
11553.58668884209,10711.773298716666,6024.587996640354
9781.869532236811,9484.76188886299,5287.149829630936
10292.706799662968,9038.434866228214,5079.836101927247
9696.507309996972,9085.840907409836,4549.899532566501
7727.7024597514555,6619.138687673542,4299.40852509996
8746.068360584162,8185.758215026601,4481.417232806149
9118.660825072619,8536.170876642267,4857.310049190754
10508.479434435149,8956.56111962496,5200.754610778213
10103.144111847685,8853.25740775536,5042.854737884873
6596.183190783764,6627.83592071301,3547.552064928819
6138.985764692567,6573.38334168981,3360.1968373406253
7293.279136685938,6511.574176382189,4007.1952673873448
8473.076879309781,8031.651141285586,5427.125241629552
9329.443210608775,9312.713928992784,6764.5919036742525
10522.993180153213,11453.699192520548,8353.35903594473
10355.94466072816,10912.262606167984,9232.473161802916
10179.986989983958,9916.811269190623,9152.688464083283
