kpx_group_1,kpx_group_2,kpx_group_3
3169.4808841981085,3570.762379826562,2029.312235524089
2791.1898902328076,2800.7310491699695,781.1269058026586
2017.213400189656,1905.7804625174372,598.6285302087726
1638.235593108221,1443.773216181603,377.2779340919581
1783.5131136756117,1123.57567082119,235.27012391455253
1374.8479010824321,786.5072869748692,48.54556475007826
985.309093758629,677.5413939187534,21.188889546794783
980.0120899796467,211.0311734507643,42.39415186715107
725.9702024806959,114.76040106959381,68.10436631572615
7.611759692738083,0.0,0.0
109.23268613332905,29.666702862090418,0.0
0.0,115.72403473182344,0.0
207.7617919815052,236.82017177866283,0.0
120.3669100994515,433.5169006786573,331.9869630357137
1653.4365571386297,1806.7588441028383,1180.9102772970507
2935.353220716902,2943.0370004098518,1881.3795291552265
3920.799794622733,4712.927570865408,2487.829199915128
5000.545731924626,5762.726444481209,4084.6294741430006
9598.356853109848,11369.781501215486,6473.970859288592
13999.490629087857,14701.550344101535,9894.133577180675
16673.036488919915,17495.364199662687,11646.668967785428
16446.744155322307,17437.824542602822,12013.53325570201
16372.43349507799,17536.009711034516,12372.567312233075
17726.527500603945,19618.984946973753,15386.523813433929
16157.517485039767,17911.608141799123,14363.623070809668
20260.725552033604,19940.544532844404,15303.486552472154
18239.597672692802,18869.200004946462,14702.488800764797
18153.34379663467,18153.50074121908,15000.065388099096
19961.720083196597,19465.263058203527,15009.976201511368
19987.942233013888,19434.942385871465,13894.491335141372
19041.687751377383,19618.823853276528,14370.333927593188
18618.274452043202,18796.152587163313,14255.068144319042
17356.510166568183,17016.553249038403,14336.080875450636
15845.126178663637,16178.104774101574,14753.549076728224
15726.266661380807,16394.158389322703,15217.927303024591
15685.816272863558,16835.268121343048,15163.66187425816
17231.481372390204,18054.92692521256,15028.621984160218
17642.42838529725,18173.13420678353,14417.8063181777
16576.19373928115,18342.789313763667,12757.528090843998
15184.655469788771,17656.993481720954,12632.73155599036
15967.716102932854,16430.7513991529,11974.467857087282
14379.49595485481,16781.78166802667,11100.234182658714
15056.393690904502,17517.211663660706,11377.235257661365
13353.274417702358,14709.4477703153,9313.46059107529
13296.059592387826,11977.37127646701,7116.870169249637
11828.183194771826,10740.919647263241,6024.587996640354
10027.37562940133,9428.277626209085,5287.149829630936
10601.335370875604,8996.349070867349,5079.836101927247
10025.431003225636,9135.733843581736,4549.899532566501
8138.188385094921,6635.9665284533485,4299.40852509996
8958.34734245232,8126.009853209671,4481.417232806149
9432.756583760698,8500.38147140922,4857.310049190754
10877.789174486506,8917.139603221878,5200.754610778213
10479.86277228018,8842.673308771264,5042.854737884873
6839.483270472594,6604.414628294227,3547.552064928819
6501.976328345977,6564.213195762457,3360.1968373406253
7546.052142103642,6446.8385546129675,4007.1952673873448
8457.916245405606,7950.562838148495,5427.125241629552
9346.110120828273,9279.888367162446,6764.5919036742525
10492.305882076567,11418.041464456403,8353.35903594473
10330.061630662305,10882.744542761793,9232.473161802916
10149.299691907312,9872.016736388965,9152.688464083283
