month,exposure_risk,max_single_shift,shifted_features
1,1.9480494629972005,0.4239640848602128,9
2,5.337264930037185,0.7397771828803442,9
3,0.9107018149797688,0.2677793156266463,9
4,6.088352963317817,0.9988650150591586,9
5,0.6290041760455514,0.1422649551879564,9
6,2.4414499698071737,0.4524456785529726,9
7,3.93466483505952,0.5891847029578224,9
8,2.3040439086091857,0.5035954580166968,9
9,2.2486317649456598,0.4576842193952017,9
10,0.8117270715181581,0.2035600115578494,9
11,1.2436707977299848,0.2802451629777618,9
12,1.351316887004017,0.1834298069480303,9
