experiment_id,score,one_minus_nmae,avg_nmae,ficr,worst_month_score,high_generation_score,delta_score,delta_one_minus_nmae,delta_avg_nmae,delta_ficr,delta_worst_month_score,delta_high_generation_score,method,alpha_kpx_group_1,alpha_kpx_group_2,alpha_kpx_group_3,verdict,reason
baseline_w4,0.6117673564727266,0.8700286771288893,0.12997132287111068,0.3535060358165638,0.5917149198256562,0.6001969855349586,0.0,0.0,0.0,0.0,0.0,0.0,baseline,1.0,1.0,1.0,Baseline,fixed W4 baseline
A2_group_0.970_0.970_1.000,0.6000191804634498,0.8683813235958715,0.13161867640412853,0.3316570373310281,,,-0.0117481760092768,-0.0016473535330178146,0.0016473535330178424,-0.02184899848553573,,,A2_group,0.97,0.97,1.0,Screened,fast metric pass; detailed slices computed for top candidates only
A2_group_0.970_0.970_1.005,0.6002059419628101,0.8685087806742438,0.13149121932575622,0.33190310325137645,,,-0.011561414509916546,-0.001519896454645564,0.0015198964546455362,-0.02160293256518736,,,A2_group,0.97,0.97,1.005,Screened,fast metric pass; detailed slices computed for top candidates only
A2_group_0.970_0.970_1.010,0.6005846522300625,0.8686295626550412,0.13137043734495882,0.3325397418050839,,,-0.011182704242664099,-0.0013991144738481065,0.0013991144738481343,-0.020966294011479925,,,A2_group,0.97,0.97,1.01,Screened,fast metric pass; detailed slices computed for top candidates only
A2_group_0.970_0.970_1.015,0.6008405071552441,0.8687436457340795,0.1312563542659205,0.3329373685764087,,,-0.010926849317482557,-0.0012850313948098435,0.0012850313948098158,-0.020568667240155103,,,A2_group,0.97,0.97,1.015,Screened,fast metric pass; detailed slices computed for top candidates only
A2_group_0.970_0.970_1.020,0.6009089986448195,0.8688511153174504,0.13114888468254962,0.3329668819721886,,,-0.010858357827907117,-0.0011775618114389097,0.0011775618114389375,-0.020539153844375213,,,A2_group,0.97,0.97,1.02,Screened,fast metric pass; detailed slices computed for top candidates only
A2_group_0.970_0.970_1.025,0.6013157774549442,0.8689508275971372,0.13104917240286282,0.33368072731275134,,,-0.010451579017782375,-0.001077849531752162,0.0010778495317521342,-0.019825308503812478,,,A2_group,0.97,0.97,1.025,Screened,fast metric pass; detailed slices computed for top candidates only
A2_group_0.970_0.970_1.030,0.6015029144691266,0.8690449837824326,0.1309550162175674,0.33396084515582064,,,-0.010264442003599994,-0.0009836933464567599,0.0009836933464567044,-0.019545190660743172,,,A2_group,0.97,0.97,1.03,Screened,fast metric pass; detailed slices computed for top candidates only
A2_group_0.970_0.975_0.970,0.5996422090922001,0.8675888501846294,0.13241114981537064,0.3316955679997709,,,-0.012125147380526502,-0.0024398269442599263,0.002439826944259954,-0.02181046781679291,,,A2_group,0.97,0.975,0.97,Screened,fast metric pass; detailed slices computed for top candidates only
A2_group_0.970_0.975_0.975,0.5998257338059894,0.8677586422909528,0.1322413577090472,0.331892825321026,,,-0.011941622666737262,-0.00227003483793653,0.00227003483793653,-0.021613210495537827,,,A2_group,0.97,0.975,0.975,Screened,fast metric pass; detailed slices computed for top candidates only
A2_group_0.970_0.975_0.980,0.6002397779541562,0.8679204230579864,0.13207957694201355,0.3325591328503259,,,-0.011527578518570447,-0.0021082540709028708,0.0021082540709028708,-0.020946902966237912,,,A2_group,0.97,0.975,0.98,Screened,fast metric pass; detailed slices computed for top candidates only
A2_group_0.970_0.975_0.985,0.6006554017378303,0.8680755339355841,0.13192446606441585,0.3332352695400764,,,-0.011111954734896345,-0.0019531431933051957,0.001953143193305168,-0.02027076627648744,,,A2_group,0.97,0.975,0.985,Screened,fast metric pass; detailed slices computed for top candidates only
A2_group_0.970_0.975_0.990,0.6010369043155782,0.8682248006650248,0.1317751993349752,0.3338490079661316,,,-0.010730452157148407,-0.0018038764638644844,0.0018038764638645122,-0.019657027850432218,,,A2_group,0.97,0.975,0.99,Screened,fast metric pass; detailed slices computed for top candidates only
A2_group_0.970_0.975_0.995,0.6012982967264289,0.8683678534780518,0.13163214652194824,0.3342287399748059,,,-0.010469059746297749,-0.0016608236508375285,0.0016608236508375562,-0.019277295841757913,,,A2_group,0.97,0.975,0.995,Screened,fast metric pass; detailed slices computed for top candidates only
A2_group_0.970_0.975_1.000,0.6015181472617045,0.868503525158476,0.13149647484152407,0.3345327693649331,,,-0.010249209211022126,-0.0015251519704133631,0.001525151970413391,-0.01897326645163072,,,A2_group,0.97,0.975,1.0,Screened,fast metric pass; detailed slices computed for top candidates only
A2_group_0.970_0.975_1.005,0.6017049087610649,0.8686309822368482,0.13136901776315177,0.3347788352852814,,,-0.01006244771166176,-0.0013976948920411125,0.0013976948920410848,-0.018727200531282406,,,A2_group,0.97,0.975,1.005,Screened,fast metric pass; detailed slices computed for top candidates only
A2_group_0.970_0.975_1.010,0.6020836190283172,0.8687517642176457,0.13124823578235434,0.3354154738389888,,,-0.009683737444409424,-0.001276912911243655,0.001276912911243655,-0.018090561977575026,,,A2_group,0.97,0.975,1.01,Screened,fast metric pass; detailed slices computed for top candidates only
A2_group_0.970_0.975_1.015,0.6023394739534988,0.8688658472966839,0.13113415270331602,0.3358131006103137,,,-0.00942788251922777,-0.001162829832205392,0.0011628298322053365,-0.017692935206250093,,,A2_group,0.97,0.975,1.015,Screened,fast metric pass; detailed slices computed for top candidates only
