source,family,columns,max_abs_shift_z,max_label_relevance,missing_columns
gfs,cloud,3,0.019056984669684907,,0
gfs,humidity,2,0.03939910015176718,,0
gfs,metadata,3,0.13849032895941962,0.7490288085246858,0
gfs,precipitation_snow,1,0.031319404486937055,,0
gfs,pressure,2,0.08023835601692166,,0
gfs,radiation,2,0.008915094540781252,,0
gfs,spatial_contract,3,0.0,,0
gfs,static_or_geopotential,1,0.05950143944934106,,0
gfs,temperature_dewpoint,7,0.05342286912583486,,0
gfs,time_contract,2,,,0
gfs,wind_or_motion,2,0.089917852723209,,0
gfs,wind_vector,12,0.1373859765144987,0.8123829516584613,0
ldaps,boundary_layer,1,0.05978759793718942,,0
ldaps,cloud,4,0.04746168768267085,,0
ldaps,humidity,2,0.0280537236317589,,0
ldaps,precipitation_snow,4,0.040533224031450196,,0
ldaps,pressure,3,0.08368215261416474,,0
ldaps,radiation,4,0.027356132163875554,,0
ldaps,spatial_contract,3,0.0,,0
ldaps,static_or_geopotential,2,0.0,,0
ldaps,temperature_dewpoint,2,0.002381314800448105,,0
ldaps,time_contract,2,,,0
ldaps,wind_vector,8,0.12767671576525946,0.8263124368994054,0
