target,taxonomy,start,end,duration_hours,mean_abs_residual_ratio,max_abs_residual_ratio,mean_label_ratio,mean_scada_ratio,mean_online_rate,mean_scada_ws
kpx_group_2,scada_zero_label_positive,2022-01-31 13:00:00,2022-02-07 11:00:00,167,0.615550266966068,0.8235964814814816,0.615550266966068,0.0,0.7386892880904855,11.487208915502329
kpx_group_3,scada_zero_label_positive,2024-02-12 14:00:00,2024-02-15 09:00:00,68,0.8126309614845939,1.0062225714285713,0.8126309614845939,0.0,0.7583333333333332,12.719172763480394
kpx_group_2,scada_zero_label_positive,2022-02-14 21:00:00,2022-02-17 10:00:00,62,0.654449252538829,0.8008304166666668,0.654449252538829,0.0,0.8225806451612904,11.849103942652329
kpx_group_2,scada_zero_label_positive,2022-02-20 16:00:00,2022-02-23 00:00:00,57,0.5547382277452891,0.7988216203703703,0.5547382277452891,0.0,0.8109161793372319,10.42962962962963
kpx_group_1,scada_zero_label_positive,2022-12-17 16:00:00,2022-12-19 20:00:00,53,0.4748155660377357,0.6361111111111111,0.4748155660377357,0.0,0.6436058700209643,12.253333333333334
kpx_group_1,scada_zero_label_positive,2022-01-16 15:00:00,2022-01-18 13:00:00,47,0.5731373414105594,0.8142222222222223,0.5734545202915681,0.0003171788810086681,0.8315602836879437,9.622104018912529
kpx_group_1,scada_zero_label_positive,2022-12-14 04:00:00,2022-12-15 11:00:00,32,0.4953087543402778,0.6555292592592593,0.4953087543402778,0.0,0.6527777777777777,12.209722222222222
kpx_group_1,scada_under_label,2022-08-03 07:00:00,2022-08-04 10:00:00,28,0.4056755076058201,0.6539010648148148,0.5737674388227514,0.16809193121693117,0.8333333333333331,9.825297619047618
kpx_group_1,scada_under_label,2023-01-20 12:00:00,2023-01-21 12:00:00,25,0.39425504814814816,0.6521359722222222,0.654484677777778,0.2602296296296296,0.8333333333333333,10.556310000000002
kpx_group_1,scada_zero_label_positive,2022-03-04 17:00:00,2022-03-05 16:00:00,24,0.4384144714506173,0.6233888888888889,0.4384144714506173,0.0,0.5,12.038194444444445
kpx_group_2,scada_under_label,2023-01-28 17:00:00,2023-01-29 14:00:00,22,0.3807433964646464,0.5593737962962962,0.6309369991582492,0.25019360269360263,0.8396464646464646,11.689775252525253
kpx_group_1,scada_under_label,2022-12-06 10:00:00,2022-12-07 07:00:00,22,0.27606536826599326,0.4510068055555555,0.6771996275252526,0.4011342592592592,0.8270202020202021,13.110606060606063
kpx_group_2,scada_zero_label_positive,2024-01-23 08:00:00,2024-01-24 04:00:00,21,0.14394562610229272,0.1613713425925926,0.14778821869488531,0.0038425925925925815,0.16666666666666657,13.545497354497357
kpx_group_2,scada_under_label,2023-01-03 19:00:00,2023-01-04 14:00:00,20,0.37586776620370366,0.6532968055555556,0.7416385995370368,0.36577083333333327,0.8375000000000001,12.649899999999999
kpx_group_3,low_online_label_positive,2023-01-27 18:00:00,2023-01-28 13:00:00,20,0.011314154761904704,0.0643884761904761,0.33024210238095236,0.3317547619047619,0.41500000000000015,9.533179129583335
kpx_group_2,scada_under_label,2024-12-28 19:00:00,2024-12-29 12:00:00,18,0.3138429423868313,0.6685438425925925,0.7611757613168724,0.4473328189300412,0.8333333333333335,12.962077160493827
kpx_group_2,scada_zero_label_positive,2022-02-23 20:00:00,2022-02-24 12:00:00,17,0.560171653050109,0.7211491203703704,0.560171653050109,0.0,0.7990196078431374,9.803104575163397
kpx_group_1,scada_under_label,2023-12-24 20:00:00,2023-12-25 12:00:00,17,0.3651523883442266,0.5226028240740741,0.6650216693899783,0.29986928104575167,0.9019607843137254,10.736934640522875
kpx_group_1,scada_under_label,2022-12-13 12:00:00,2022-12-14 03:00:00,16,0.4358863310185185,0.5995604166666666,0.6323446643518519,0.1964583333333333,0.8333333333333334,12.668923611111111
kpx_group_1,scada_under_label,2022-08-11 19:00:00,2022-08-12 10:00:00,16,0.35869730613425926,0.5342806944444444,0.4954970746527778,0.1367997685185185,0.8315972222222223,8.827604166666667
kpx_group_1,scada_under_label,2022-12-22 10:00:00,2022-12-23 01:00:00,16,0.333155703125,0.5019376388888888,0.6836938975694444,0.35053819444444445,0.7934027777777778,14.551664930555555
kpx_group_1,scada_under_label,2022-06-25 19:00:00,2022-06-26 10:00:00,16,0.2982167968749999,0.4919054629629629,0.5853059172453703,0.2870891203703704,0.8194444444444444,10.704513888888888
kpx_group_2,scada_zero_label_positive,2022-11-14 21:00:00,2022-11-15 11:00:00,15,0.7285592623456789,0.8209181481481481,0.7285592623456789,0.0,0.8333333333333336,11.169814814814815
kpx_group_2,scada_zero_label_positive,2022-02-19 22:00:00,2022-02-20 12:00:00,15,0.5472341141975309,0.6957046759259259,0.5472341141975309,0.0,0.8203703703703705,10.193888888888889
kpx_group_1,scada_under_label,2024-07-04 21:00:00,2024-07-05 11:00:00,15,0.37624519135802464,0.558184212962963,0.6398161790123458,0.26357098765432097,0.8814814814814815,12.064944444444446
kpx_group_1,scada_under_label,2022-12-07 21:00:00,2022-12-08 11:00:00,15,0.3154508148148148,0.515425925925926,0.5912039012345679,0.27575308641975305,0.8333333333333336,10.545185185185183
kpx_group_2,moderate_residual,2022-04-14 20:00:00,2022-04-15 10:00:00,15,0.050130018518518484,0.0910643055555555,0.050130018518518484,0.0,0.537037037037037,6.148703703703704
kpx_group_1,scada_under_label,2022-06-26 19:00:00,2022-06-27 08:00:00,14,0.3435416302910052,0.5076354629629629,0.5744609424603174,0.2309193121693121,0.8234126984126986,10.690277777777778
kpx_group_1,moderate_residual,2022-06-30 21:00:00,2022-07-01 10:00:00,14,0.08293971230158727,0.1188352777777778,0.5056844212962963,0.422744708994709,0.8234126984126986,9.600595238095238
kpx_group_2,moderate_residual,2022-08-22 02:00:00,2022-08-22 15:00:00,14,0.055384715608465564,0.0823596296296296,0.055384715608465564,0.0,0.7440476190476192,4.661507936507937
kpx_group_2,scada_zero_label_positive,2022-03-05 02:00:00,2022-03-05 14:00:00,13,0.7874900997150996,0.8169006018518519,0.7874900997150996,0.0,0.8311965811965814,15.896581196581197
kpx_group_1,scada_zero_label_positive,2022-05-25 23:00:00,2022-05-26 11:00:00,13,0.5102280769230769,0.6782953240740741,0.5102280769230769,0.0,0.8333333333333335,9.673290598290597
kpx_group_2,scada_under_label,2024-11-29 22:00:00,2024-11-30 10:00:00,13,0.5021782941595442,0.6109556481481482,0.6987951032763533,0.19661680911680907,0.8333333333333335,12.721549145299146
kpx_group_1,scada_under_label,2022-08-14 19:00:00,2022-08-15 07:00:00,13,0.3839618055555555,0.6036817592592593,0.5166149394586894,0.13265313390313388,0.8333333333333335,9.878846153846155
kpx_group_1,scada_under_label,2023-06-28 22:00:00,2023-06-29 10:00:00,13,0.3557085398860399,0.5152500000000001,0.6249856054131055,0.2692770655270655,0.8974358974358972,10.246055555555555
kpx_group_2,scada_zero_label_positive,2022-06-06 04:00:00,2022-06-06 16:00:00,13,0.3139349928774928,0.4713918055555555,0.3139349928774928,0.0,0.8119658119658121,7.799145299145299
kpx_group_2,moderate_residual,2023-12-16 15:00:00,2023-12-17 03:00:00,13,0.062385024928774874,0.1021642129629629,0.15488146367521363,0.09249643874643872,0.7200854700854701,14.083220085470085
kpx_group_1,moderate_residual,2022-07-29 20:00:00,2022-07-30 08:00:00,13,0.060342371794871744,0.0884371296296296,0.10955533475783469,0.049212962962962944,0.8055555555555556,5.545940170940171
kpx_group_1,moderate_residual,2022-04-17 13:00:00,2022-04-18 01:00:00,13,0.052336328347578315,0.0900735648148148,0.20195883547008542,0.14962250712250708,0.7841880341880342,6.281623931623932
kpx_group_2,scada_under_label,2022-12-28 03:00:00,2022-12-28 14:00:00,12,0.4192251080246913,0.6505112037037037,0.7047999537037039,0.28557484567901237,0.8125,13.36434722222222
kpx_group_1,scada_under_label,2023-07-25 22:00:00,2023-07-26 09:00:00,12,0.35887447530864197,0.4292665740740741,0.5736159876543211,0.21474151234567898,0.8865740740740741,9.382662037037036
kpx_group_1,scada_under_label,2022-01-22 15:00:00,2022-01-23 02:00:00,12,0.3381631327160493,0.4239122685185185,0.5287534104938271,0.19059027777777773,0.8333333333333335,8.87662037037037
kpx_group_1,scada_zero_label_positive,2023-12-17 07:00:00,2023-12-17 18:00:00,12,0.3267602353395061,0.4051023611111111,0.3267602353395061,0.0,0.4837962962962963,11.920250000000001
kpx_group_1,scada_under_label,2024-08-22 23:00:00,2024-08-23 10:00:00,12,0.3102418788580246,0.4615433796296296,0.6441461998456791,0.33390432098765427,0.8750000000000001,11.235319444444444
kpx_group_2,scada_under_label,2024-03-02 20:00:00,2024-03-03 07:00:00,12,0.26668409336419746,0.3820774999999999,0.7413484452160496,0.4746643518518517,0.8333333333333335,14.399243055555553
kpx_group_1,scada_under_label,2022-03-26 02:00:00,2022-03-26 13:00:00,12,0.2435618094135802,0.3526861574074074,0.7099892785493828,0.4664274691358024,0.8333333333333335,13.099537037037038
kpx_group_1,scada_under_label,2022-08-06 23:00:00,2022-08-07 10:00:00,12,0.22920613811728388,0.3418649999999999,0.36844224922839514,0.13923611111111103,0.8333333333333335,8.027083333333332
kpx_group_1,scada_under_label,2022-07-15 00:00:00,2022-07-15 11:00:00,12,0.18841910493827155,0.2756149999999999,0.29953021604938274,0.11111111111111109,0.8333333333333335,7.276157407407408
kpx_group_3,low_online_label_positive,2023-12-06 21:00:00,2023-12-07 08:00:00,12,0.02067363888888885,0.1434741904761905,0.1933586468253968,0.18265476190476185,0.21666666666666667,12.201347188194445
kpx_group_1,scada_zero_label_positive,2022-04-10 00:00:00,2022-04-10 10:00:00,11,0.6463375925925926,0.6555292592592593,0.6463375925925926,0.0,0.6666666666666667,12.81237373737374
kpx_group_1,scada_zero_label_positive,2022-09-06 23:00:00,2022-09-07 09:00:00,11,0.6384242424242426,0.8175701851851852,0.6384242424242426,0.0,0.8308080808080809,11.482575757575757
kpx_group_1,scada_under_label,2023-11-23 02:00:00,2023-11-23 12:00:00,11,0.4170574663299664,0.6635141203703703,0.7751424831649832,0.35808501683501687,0.9015151515151515,13.53823484848485
kpx_group_1,scada_under_label,2023-08-04 00:00:00,2023-08-04 10:00:00,11,0.3704959722222222,0.6331500925925926,0.6215018644781145,0.2510058922558922,0.8939393939393938,10.182876262626262
kpx_group_1,scada_under_label,2023-04-06 02:00:00,2023-04-06 12:00:00,11,0.3698215446127946,0.6732270833333335,0.6789040361952862,0.30908249158249157,0.9015151515151513,11.326381313131312
kpx_group_1,scada_under_label,2022-08-05 20:00:00,2022-08-06 06:00:00,11,0.35687152356902363,0.5534074074074075,0.4937317929292929,0.1368602693602693,0.8333333333333335,8.80808080808081
