source,feature,month,lead_hour,train2024_mean,test2025_mean,z_delta_vs_2024,test_above_train_p90_rate,abs_z_delta
ldaps,wind_primary_speed,1,12,8.658529404674878,8.855908921843165,0.05245861970286602,0.12903225806451613,0.05245861970286602
ldaps,wind_primary_speed,1,13,8.773122091095493,9.031157329765827,0.06759657032736885,0.12701612903225806,0.06759657032736885
ldaps,wind_primary_speed,1,14,8.954964801821054,9.155507973786696,0.05120022438192293,0.12903225806451613,0.05120022438192293
ldaps,wind_primary_speed,1,15,9.074100571221768,9.269734954335227,0.04716121716220894,0.1350806451612903,0.04716121716220894
ldaps,wind_primary_speed,1,16,9.02920605761618,9.250403182108196,0.050668463440979056,0.12298387096774194,0.050668463440979056
ldaps,wind_primary_speed,1,17,8.91618982738356,9.071913509675982,0.03467527396217767,0.11895161290322581,0.03467527396217767
ldaps,wind_primary_speed,1,18,8.699543587995509,8.777484587141533,0.017454261674950004,0.11693548387096774,0.017454261674950004
ldaps,wind_primary_speed,1,19,8.526574437850213,8.57594778185048,0.011004134433992506,0.11895161290322581,0.011004134433992506
ldaps,wind_primary_speed,1,20,8.725366052219563,8.644020750601983,-0.017248227687729944,0.1028225806451613,0.017248227687729944
ldaps,wind_primary_speed,1,21,8.971892968257132,9.051300288490035,0.016263503482379708,0.07258064516129033,0.016263503482379708
ldaps,wind_primary_speed,1,22,9.356047972473393,9.612363590528828,0.05300091420559755,0.07056451612903226,0.05300091420559755
ldaps,wind_primary_speed,1,23,9.77575407763928,9.991312787954088,0.04489603578161763,0.09274193548387097,0.04489603578161763
ldaps,wind_primary_speed,1,24,9.948230892789558,10.352422440832738,0.08522623301278268,0.10887096774193548,0.08522623301278268
ldaps,wind_primary_speed,1,25,9.919564759540574,10.530963599491203,0.13300675233122672,0.11491935483870967,0.13300675233122672
ldaps,wind_primary_speed,1,26,9.760310060822562,10.572112919903109,0.18065805573864394,0.14516129032258066,0.18065805573864394
ldaps,wind_primary_speed,1,27,9.575698117663695,10.489686651056532,0.21331536370474205,0.14919354838709678,0.21331536370474205
ldaps,wind_primary_speed,1,28,9.496551273449072,10.181393187199195,0.16876999537166565,0.14112903225806453,0.16876999537166565
ldaps,wind_primary_speed,1,29,9.40606112280025,9.705235553620337,0.07486500139295699,0.12096774193548387,0.07486500139295699
ldaps,wind_primary_speed,1,30,9.43175539808972,9.504605548733497,0.0183611483430003,0.12903225806451613,0.0183611483430003
ldaps,wind_primary_speed,1,31,9.15481939307572,9.444268949836893,0.0731219987141312,0.1592741935483871,0.0731219987141312
ldaps,wind_primary_speed,1,32,9.014195152012833,9.191606365754245,0.04436920372732362,0.15524193548387097,0.04436920372732362
ldaps,wind_primary_speed,1,33,8.733915102337326,9.225311765957258,0.12332886295309606,0.17540322580645162,0.12332886295309606
ldaps,wind_primary_speed,1,34,8.515401277479228,9.191795495547364,0.16743789345536433,0.18346774193548387,0.16743789345536433
ldaps,wind_primary_speed,1,35,8.387861650296434,9.236738757903176,0.21328107973095597,0.18346774193548387,0.21328107973095597
ldaps,wind_primary_speed,2,12,6.875198053021114,9.695479997521442,0.6890280597262978,0.20089285714285715,0.6890280597262978
ldaps,wind_primary_speed,2,13,6.847195231967713,10.076085891652687,0.785096374624169,0.25,0.785096374624169
ldaps,wind_primary_speed,2,14,6.703692817348499,10.281379831184763,0.8914039530652967,0.33035714285714285,0.8914039530652967
ldaps,wind_primary_speed,2,15,6.651317420342053,10.158164057294224,0.8603061744386503,0.33705357142857145,0.8603061744386503
ldaps,wind_primary_speed,2,16,6.589304227593745,9.81049250582943,0.7980062719976208,0.27232142857142855,0.7980062719976208
ldaps,wind_primary_speed,2,17,6.535874681241855,9.497268702932814,0.737786653724302,0.2767857142857143,0.737786653724302
ldaps,wind_primary_speed,2,18,6.517103194389902,9.224820073460608,0.6697333620447592,0.27455357142857145,0.6697333620447592
ldaps,wind_primary_speed,2,19,6.6405333918527,9.173054333034544,0.6292301806585047,0.25223214285714285,0.6292301806585047
ldaps,wind_primary_speed,2,20,6.645870623885938,9.28117723179312,0.6819623248697664,0.26339285714285715,0.6819623248697664
ldaps,wind_primary_speed,2,21,6.754049113297982,9.624080432843941,0.7546545360571727,0.26339285714285715,0.7546545360571727
ldaps,wind_primary_speed,2,22,6.6629668725734765,10.187053044339722,0.8897051617510351,0.33035714285714285,0.8897051617510351
