target,feature,rows,spearman_with_actual_ramp,spearman_with_signed_error,spearman_with_abs_error
kpx_group_1,same_cycle_ldaps_ramp,8409,0.13876031792690996,-0.006744853618853613,0.023762603139505924
kpx_group_1,same_cycle_gfs_ramp,8409,0.17054601981941409,0.018422456146177848,0.0016770361322399447
kpx_group_1,same_lead_issue_delta,8752,0.026504279888629058,0.03620186466601399,0.14339436721141524
kpx_group_1,source_disagreement,8775,-0.04931492891906621,-0.0024830221212269825,-0.14563419530066554
kpx_group_2,same_cycle_ldaps_ramp,8409,0.12662920271402933,-0.0078639591901998,0.03021646543329834
kpx_group_2,same_cycle_gfs_ramp,8409,0.16890191800156285,0.02513796272195679,0.017813289621015627
kpx_group_2,same_lead_issue_delta,8752,0.019400086904572907,0.08324955252629587,0.15006909812844155
kpx_group_2,source_disagreement,8775,-0.05661962357358112,-0.0450269778412062,-0.1478936493334087
kpx_group_3,same_cycle_ldaps_ramp,8409,0.13878040245088252,0.0022110744874821666,0.054137731081839495
kpx_group_3,same_cycle_gfs_ramp,8409,0.1571519737915093,0.008763278760402744,0.0103439001066505
kpx_group_3,same_lead_issue_delta,8752,0.021263903787804645,-0.017332763630498533,0.2585802249289652
kpx_group_3,source_disagreement,8775,-0.053712747368455646,0.055170742846501794,-0.17215719089812107
