source,feature,month,train2024_mean,test2025_mean,mean_delta,pooled_std,z_delta_vs_2024,test_above_train_p90_rate,spearman_corr,weighted_abs_shift
ldaps,wind10_speed,1,5.951487558308056,6.028032075080898,0.0765445167728415,2.626418756356164,0.0291440641590199,0.1236559139784946,0.8167296175335645,0.02380282037396999
ldaps,wind10_speed,2,4.658428027511942,6.645696515188514,1.9872684876765725,2.392568633728939,0.8306004094639967,0.3017113095238095,0.8167296175335645,0.6783759547447521
ldaps,wind10_speed,3,5.7512051826599615,5.419530754626503,-0.3316744280334589,2.7428763654653423,-0.1209221210582222,0.0829973118279569,0.8167296175335645,0.0987606776832292
ldaps,wind10_speed,4,4.0830364415876375,5.618147266946399,1.5351108253587613,1.817390436875604,0.8446786080558415,0.3561631944444444,0.8167296175335645,0.6898740364962311
ldaps,wind10_speed,5,5.215621473403235,5.177640987552929,-0.0379804858503067,2.474521841889572,-0.0153486161213092,0.1412970430107527,0.8167296175335645,0.012535669374426366
ldaps,wind10_speed,6,3.646948252831517,4.367443736340676,0.720495483509159,2.020289352959508,0.3566298471538645,0.23828125,0.8167296175335645,0.2912701586670293
ldaps,wind10_speed,7,6.185531982213563,4.31331119660666,-1.8722207856069035,3.027925317187137,-0.6183180193915183,0.0054603494623655,0.8167296175335645,0.504998639491746
ldaps,wind10_speed,8,3.4130519443645864,4.277836830556648,0.8647848861920617,1.87583720551036,0.4610127590980191,0.2284946236559139,0.8167296175335645,0.37652277441621845
ldaps,wind10_speed,9,3.325290467861893,3.95930748005684,0.6340170121949464,1.5413479634854617,0.4113393126039494,0.1651041666666666,0.8167296175335645,0.33595299945954293
ldaps,wind10_speed,10,3.897572653802217,3.810192865194509,-0.0873797886077079,2.0767539706057,-0.0420751758765857,0.0684643817204301,0.8167296175335645,0.0343640423013413
ldaps,wind10_speed,11,4.6414227882167625,5.624923230744479,0.983500442527716,2.8662544304225794,0.3431308929680695,0.0973958333333333,0.8167296175335645,0.28024516297776186
ldaps,wind10_speed,12,6.582279831878409,6.157953510249798,-0.4243263216286106,2.5073994283156846,-0.1692296475254511,0.0718245967741935,0.8167296175335645,0.13821486529880161
