month,exposure_risk,max_single_shift,shifted_features
1,1.9480494629972005,0.42396408486021286,9
2,5.337264930037185,0.7397771828803442,9
3,0.9107018149797688,0.2677793156266463,9
4,6.088352963317817,0.9988650150591586,9
5,0.6290041760455514,0.14226495518795645,9
6,2.4414499698071737,0.45244567855297263,9
7,3.9346648350595195,0.5891847029578224,9
8,2.3040439086091857,0.5035954580166968,9
9,2.2486317649456593,0.4576842193952017,9
10,0.8117270715181581,0.20356001155784945,9
11,1.2436707977299848,0.28024516297776186,9
12,1.351316887004017,0.18342980694803032,9
