target,source,month,rows,mean_speed_bias,mae_speed_bias,mean_abs_dir_diff,mean_label_ratio
kpx_group_1,gfs,1,2232,1.3043065314951294,3.325633965620602,82.70178919520899,0.4331144475557547
kpx_group_1,gfs,2,2040,1.6219520591270138,3.6129240542191527,86.84068668908719,0.3168913209422658
kpx_group_1,gfs,3,2232,2.5118212948707592,3.7731523021003395,92.7030010106112,0.3286368889304102
kpx_group_1,gfs,4,2160,1.162392206397593,2.936201948524138,97.58639256249799,0.3198578702846365
kpx_group_1,gfs,5,2232,1.431500115432222,3.165067766300225,98.9201512818498,0.32650643690677683
kpx_group_1,gfs,6,2160,0.9390821698473603,2.8891511879107616,99.3374913535806,0.2283028195516118
kpx_group_1,gfs,7,2232,1.3809415768055526,3.034217411218986,102.89059146091523,0.26100443458659833
kpx_group_1,gfs,8,2232,0.512248406706782,2.5151752311573587,107.10175140634837,0.184050727756206
kpx_group_1,gfs,9,2160,0.05644630714285733,2.132128415753408,110.98781647531446,0.1474131694958848
kpx_group_1,gfs,10,2232,0.0030902791622765147,2.7363853721533498,89.76345364879155,0.22365604345391904
kpx_group_1,gfs,11,2160,1.63363530016081,3.6677903119021718,91.95741593646244,0.37695783217592593
kpx_group_1,gfs,12,2232,2.824913080640523,4.4475928136829115,81.85117638801167,0.5249791640531661
kpx_group_1,ldaps,1,2232,0.6604145257681397,1.9046811744765564,99.27324439183829,0.4331144475557547
kpx_group_1,ldaps,2,2040,1.1925365081781918,2.1334231599004094,96.90887414629388,0.3168913209422658
kpx_group_1,ldaps,3,2232,1.728919527743212,2.427289647098746,100.88031750285859,0.3286368889304102
kpx_group_1,ldaps,4,2160,1.064922695827605,2.081424727095825,103.08791193964369,0.3198578702846365
kpx_group_1,ldaps,5,2232,1.0231525827195018,2.0788724748208893,102.67493817911755,0.32650643690677683
kpx_group_1,ldaps,6,2160,1.1851965646265572,2.137247303185026,105.20052957665719,0.2283028195516118
kpx_group_1,ldaps,7,2232,1.5492899255958177,2.39723294083341,107.99555831499045,0.26100443458659833
kpx_group_1,ldaps,8,2232,1.2134688498893984,2.0730139466560997,109.11761030301086,0.184050727756206
kpx_group_1,ldaps,9,2160,0.4880492147795035,1.6233696908861235,110.26294847356289,0.1474131694958848
kpx_group_1,ldaps,10,2232,0.5259448516785488,1.7682531353171613,92.51124721901606,0.22365604345391904
kpx_group_1,ldaps,11,2160,1.2604632386223866,2.17713054242384,102.9448352965829,0.37695783217592593
kpx_group_1,ldaps,12,2232,0.8863248526871014,2.024870745284739,98.80247358840427,0.5249791640531661
kpx_group_2,gfs,1,2232,0.7549259435819475,3.0571127934259574,90.72565604403613,0.4483854346707819
kpx_group_2,gfs,2,2040,0.8870431947479287,3.076055530553747,97.78846978463451,0.3231585571668482
kpx_group_2,gfs,3,2232,1.8719694554641482,3.4180586990724997,100.99084986917234,0.3556313008013619
kpx_group_2,gfs,4,2160,0.7829146601012967,2.8154762712525585,104.64611581960412,0.3476892818287037
kpx_group_2,gfs,5,2232,1.0758790107926364,2.9828204362539763,105.6763251376913,0.33608590340003985
kpx_group_2,gfs,6,2160,0.6340224219049735,2.660390554693437,102.13995467191602,0.2460516215920782
kpx_group_2,gfs,7,2232,1.0031649315447004,2.7233261822215713,106.03216100393067,0.28740325069873307
kpx_group_2,gfs,8,2232,0.17495008183621255,2.368711386498998,110.00293653830933,0.22027492120088277
kpx_group_2,gfs,9,2160,-0.16872662238389166,2.01008740451542,112.2941474471721,0.16722685288065844
kpx_group_2,gfs,10,2232,-0.13145015542553712,2.5406054576469135,91.75701566958114,0.23334206141257538
kpx_group_2,gfs,11,2160,1.3177582682678057,3.394917402491054,94.70786783236584,0.3782604342421125
kpx_group_2,gfs,12,2232,2.125799306247851,3.9604065596374434,86.28231192965147,0.5783778177684854
kpx_group_2,ldaps,1,2232,0.11103393785495771,2.036701666206808,107.59645396532876,0.4483854346707819
kpx_group_2,ldaps,2,2040,0.457627643799107,1.93711007447764,107.9636573811671,0.3231585571668482
kpx_group_2,ldaps,3,2232,1.0890676883366008,2.3133544684485465,109.76843775730329,0.3556313008013619
kpx_group_2,ldaps,4,2160,0.685445149531309,2.118148750089333,111.21495126713442,0.3476892818287037
kpx_group_2,ldaps,5,2232,0.6675314780799161,2.090416027254191,110.06844395339719,0.33608590340003985
kpx_group_2,ldaps,6,2160,0.8801368166841702,2.0431573679350765,108.69650408790821,0.2460516215920782
kpx_group_2,ldaps,7,2232,1.1715132803349653,2.1903086680801347,111.57314121154587,0.28740325069873307
kpx_group_2,ldaps,8,2232,0.8761705250188291,1.8987626549530179,112.36786271136346,0.22027492120088277
kpx_group_2,ldaps,9,2160,0.26287628525275447,1.5836528056108254,112.60418718849768,0.16722685288065844
kpx_group_2,ldaps,10,2232,0.3914044170907351,1.7977121925370687,95.19654284399567,0.23334206141257538
kpx_group_2,ldaps,11,2160,0.9445862067293825,2.114211928897703,105.59475859533416,0.3782604342421125
kpx_group_2,ldaps,12,2232,0.18721107829442912,2.1996344534260674,103.05184324184809,0.5783778177684854
kpx_group_3,gfs,1,1488,2.6002751039099974,3.64191098183072,96.41518918504875,0.4046948761520738
kpx_group_3,gfs,2,1368,1.3770961603249845,2.584849108561167,105.72298784193585,0.21870894507101085
kpx_group_3,gfs,3,1488,3.5239555376324074,4.117692234794427,102.4711742721938,0.31433762954429084
kpx_group_3,gfs,4,1440,2.0286683846827134,3.153886853843785,103.49897257378365,0.26112935009920635
kpx_group_3,gfs,5,1488,1.9587849029020865,3.074326802048321,111.45289308787763,0.25950695023681514
kpx_group_3,gfs,6,1440,1.233559140991661,2.622660961164359,96.9442426182759,0.1711411501984127
kpx_group_3,gfs,7,1488,2.817654182715583,3.6283734284285516,116.30188005194788,0.35815903910417063
kpx_group_3,gfs,8,1488,0.9482501987580261,2.0884855764321437,109.8133715093643,0.11854994284434203
kpx_group_3,gfs,9,1440,0.6628365172285173,1.7122924819212022,111.20895203554383,0.09746465681216931
kpx_group_3,gfs,10,1488,0.9803930259132293,2.350941371609534,96.41166986825698,0.1533243771441372
