target,taxonomy,nwp_wind_bin,wind_center,rows,mean_label_ratio,mean_scada_ratio,mean_residual_ratio,capacity
kpx_group_1,low_online_label_positive,"(0.155, 2.464]",2.1926732777358815,1,0.1084737037037037,0.0822685185185185,-0.0262051851851851,21600.0
kpx_group_1,low_online_label_positive,"(5.847, 6.742]",6.168189627861268,3,0.15489862654320982,0.0883487654320987,-0.06654986111111107,21600.0
kpx_group_1,low_online_label_positive,"(8.79, 10.01]",9.591583422068991,3,0.2591315895061728,0.10992283950617276,-0.14920874999999992,21600.0
kpx_group_1,low_online_label_positive,"(10.01, 11.64]",10.806203901435426,4,0.27252340277777776,0.10939814814814809,-0.16312525462962957,21600.0
kpx_group_1,low_online_label_positive,"(11.64, 14.166]",12.458638203091969,4,0.24841812499999993,0.08218749999999996,-0.16623062499999994,21600.0
kpx_group_1,low_online_label_positive,"(14.166, 26.768]",18.858091377081205,12,0.2674456674382716,0.05957947530864192,-0.20786619212962962,21600.0
kpx_group_1,moderate_residual,"(0.155, 2.464]",1.8085612655209335,75,0.11551777716049379,0.06059135802469131,-0.05492641913580244,21600.0
kpx_group_1,moderate_residual,"(2.464, 3.432]",2.925493506357936,82,0.11559420901084007,0.06390808491418244,-0.0516861240966576,21600.0
kpx_group_1,moderate_residual,"(3.432, 4.249]",3.88726030374964,78,0.11737580603038932,0.07094610636277299,-0.04642969966761629,21600.0
kpx_group_1,moderate_residual,"(4.249, 5.031]",4.616580944033562,106,0.1286435233228511,0.0784979909154437,-0.05014553240740736,21600.0
kpx_group_1,moderate_residual,"(5.031, 5.847]",5.487921221623222,152,0.16590870126705648,0.11281585038986351,-0.05309285087719295,21600.0
kpx_group_1,moderate_residual,"(5.847, 6.742]",6.296655298043106,185,0.18237839489489485,0.12661836836836834,-0.05576002652652649,21600.0
kpx_group_1,moderate_residual,"(6.742, 7.656]",7.219581394417372,225,0.24260013004115225,0.18469135802469136,-0.057908772016460865,21600.0
kpx_group_1,moderate_residual,"(7.656, 8.79]",8.237540664326067,202,0.29000236019435277,0.22931403557022367,-0.06068832462412904,21600.0
kpx_group_1,moderate_residual,"(8.79, 10.01]",9.333994818813055,160,0.32517832581018513,0.2659571759259259,-0.05922114988425923,21600.0
kpx_group_1,moderate_residual,"(10.01, 11.64]",10.77845465467787,137,0.39284443092727767,0.32594383617193834,-0.06690059475533924,21600.0
kpx_group_1,moderate_residual,"(11.64, 14.166]",12.651054678321938,135,0.4896493179012345,0.41534087791495194,-0.07430843998628253,21600.0
kpx_group_1,moderate_residual,"(14.166, 26.768]",16.98895941256108,118,0.6276674595888261,0.5398567953546768,-0.08781066423414938,21600.0
kpx_group_1,scada_under_label,"(0.155, 2.464]",2.024591965945767,8,0.3687770486111111,0.15453703703703703,-0.21424001157407405,21600.0
kpx_group_1,scada_under_label,"(2.464, 3.432]",3.0401264314016565,10,0.46911519907407406,0.22918055555555555,-0.23993464351851848,21600.0
kpx_group_1,scada_under_label,"(3.432, 4.249]",3.8104214916790426,15,0.33635770061728393,0.12607098765432095,-0.21028671296296292,21600.0
kpx_group_1,scada_under_label,"(4.249, 5.031]",4.6412686268842815,23,0.3140962399355877,0.13443035426731076,-0.17966588566827693,21600.0
kpx_group_1,scada_under_label,"(5.031, 5.847]",5.4967285563245465,40,0.39648135763888886,0.14323495370370365,-0.25324640393518516,21600.0
kpx_group_1,scada_under_label,"(5.847, 6.742]",6.303926716660154,72,0.3930218049125514,0.17308899176954728,-0.2199328131430041,21600.0
kpx_group_1,scada_under_label,"(6.742, 7.656]",7.174018346423211,104,0.47225455350783474,0.21222800925925925,-0.26002654424857546,21600.0
kpx_group_1,scada_under_label,"(7.656, 8.79]",8.205872928640622,125,0.476802105925926,0.2092744444444444,-0.2675276614814814,21600.0
kpx_group_1,scada_under_label,"(8.79, 10.01]",9.393729507981135,141,0.47932717362752814,0.2262243892828999,-0.2531027843446283,21600.0
kpx_group_1,scada_under_label,"(10.01, 11.64]",10.88531548285705,163,0.5306608546353102,0.24509571688252665,-0.2855651377527834,21600.0
kpx_group_1,scada_under_label,"(11.64, 14.166]",12.879887127133985,250,0.5798146083333333,0.2708529629629629,-0.30896164537037035,21600.0
kpx_group_1,scada_under_label,"(14.166, 26.768]",16.782875396145165,345,0.6316297069243156,0.28636956521739126,-0.34526014170692426,21600.0
kpx_group_1,scada_zero_label_positive,"(0.155, 2.464]",1.4958796193030757,1,0.1379356944444444,0.0,-0.1379356944444444,21600.0
kpx_group_1,scada_zero_label_positive,"(2.464, 3.432]",2.9215472059284684,7,0.2170430224867724,0.0088690476190476,-0.2081739748677248,21600.0
kpx_group_1,scada_zero_label_positive,"(3.432, 4.249]",3.838290527334075,5,0.12548128703703698,0.01420370370370368,-0.1112775833333333,21600.0
kpx_group_1,scada_zero_label_positive,"(4.249, 5.031]",4.612489369439599,17,0.16853989923747273,0.0064488017429193715,-0.1620910974945533,21600.0
kpx_group_1,scada_zero_label_positive,"(5.031, 5.847]",5.441383037350629,18,0.25820159207818927,0.0038451646090534885,-0.2543564274691358,21600.0
kpx_group_1,scada_zero_label_positive,"(5.847, 6.742]",6.45854435073717,14,0.25583145171957666,0.008852513227513214,-0.2469789384920634,21600.0
kpx_group_1,scada_zero_label_positive,"(6.742, 7.656]",7.253240511225157,27,0.2521380744170096,0.0055298353909464925,-0.2466082390260631,21600.0
kpx_group_1,scada_zero_label_positive,"(7.656, 8.79]",8.209537755726819,47,0.38136748817966903,0.003961780929866026,-0.377405707249803,21600.0
kpx_group_1,scada_zero_label_positive,"(8.79, 10.01]",9.418354003019733,49,0.36321876133786846,0.002141912320483743,-0.3610768490173847,21600.0
kpx_group_1,scada_zero_label_positive,"(10.01, 11.64]",10.893296149561175,81,0.4690523788294468,0.0012265660722450826,-0.4678258127572017,21600.0
kpx_group_1,scada_zero_label_positive,"(11.64, 14.166]",12.954095960570996,111,0.49076771730063395,0.001027277277277274,-0.48974044002335665,21600.0
kpx_group_1,scada_zero_label_positive,"(14.166, 26.768]",17.589752897938,152,0.5482846055677387,0.0,-0.5482846055677387,21600.0
kpx_group_1,tight_reconstruction,"(0.155, 2.464]",1.7251336481880604,2087,0.02886234014800615,0.026989276650872224,-0.0018730634971339233,21600.0
kpx_group_1,tight_reconstruction,"(2.464, 3.432]",2.9661981886709903,2075,0.039406779875055746,0.03749462293618918,-0.0019121569388665669,21600.0
kpx_group_1,tight_reconstruction,"(3.432, 4.249]",3.856172401688454,2085,0.05682078632649432,0.054767474908961694,-0.002053311417532631,21600.0
kpx_group_1,tight_reconstruction,"(4.249, 5.031]",4.636729037930767,2033,0.09693320838115535,0.09541949044469947,-0.0015137179364558802,21600.0
kpx_group_1,tight_reconstruction,"(5.031, 5.847]",5.4341311751346915,1969,0.15638053084381992,0.15502767432236703,-0.0013528565214528906,21600.0
kpx_group_1,tight_reconstruction,"(5.847, 6.742]",6.289654723415881,1899,0.21471539921108573,0.2140324342246406,-0.000682964986445113,21600.0
kpx_group_1,tight_reconstruction,"(6.742, 7.656]",7.178151383577574,1832,0.27947514604055473,0.28016405870936434,0.0006889126688096284,21600.0
kpx_group_1,tight_reconstruction,"(7.656, 8.79]",8.202428903107363,1817,0.40244829845186403,0.4056627988748242,0.0032145004229600905,21600.0
kpx_group_1,tight_reconstruction,"(8.79, 10.01]",9.373723615866242,1839,0.5007551281392867,0.5061821541497995,0.005427026010512931,21600.0
