target,taxonomy,rows,ldaps_wind50max_speed_mean_mean,ldaps_wind50max_speed_mean_std,ldaps_wind50max_speed_std_mean,ldaps_wind50max_speed_std_std,ldaps_wind50max_dir_deg_mean_mean,ldaps_wind50max_dir_deg_mean_std,gfs_wind850_speed_mean_mean,gfs_wind850_speed_mean_std,gfs_wind100_speed_mean_mean,gfs_wind100_speed_mean_std,ldaps_lead_hour_mean_mean,ldaps_lead_hour_mean_std,month_mean,month_std,hour_mean,hour_std
kpx_group_1,low_online_label_positive,27,13.660313235948546,5.568869524411923,1.2798596348792972,0.6291890224501133,76.39803409176395,91.0579653647478,16.582051406046048,8.06193987154891,8.168368213277216,5.567553857320424,22.40740740740741,6.778128055962054,9.777777777777779,3.2855550208255218,11.407407407407407,6.778128055962054
kpx_group_1,moderate_residual,1655,7.938494127440819,3.7892741163212733,1.0778696699775048,0.5984891262891969,108.50640173259643,102.59551297656527,8.297131187814255,5.194634671418092,3.904162377519009,2.564403772955778,23.578851963746224,6.501207209016289,6.639274924471299,3.1714078528297085,11.737764350453173,6.521668363193427
kpx_group_1,scada_under_label,1296,11.392726441805811,4.2012693025346195,1.3910755030068311,0.6758596274312717,69.17383194494981,85.65162983243876,12.918622128346868,5.862656397952711,5.517919532790169,3.3327033377643147,22.92283950617284,7.071192520956442,7.520061728395062,3.3757571317265818,10.830246913580247,6.974119521847168
kpx_group_1,scada_zero_label_positive,529,11.994336847363316,4.541388098274062,1.4531912031578471,0.7365299954041741,98.6621659337661,106.6524063966435,14.716848404727594,6.472395432930193,6.547642543376099,3.81538145202315,22.892249527410208,6.758112160057805,7.3156899810964084,4.227946294999881,10.939508506616257,6.675098494366349
kpx_group_1,tight_reconstruction,22693,7.1421125310415805,4.071246716774446,1.1086245081727482,0.6666384750664566,122.24629570103131,97.73947132543277,7.584336479534587,5.564871707225492,3.6654199070894946,2.357750748327496,23.541268232494602,6.949836001183042,6.421275283126955,3.440477526648638,11.531265147842948,6.9551047878248955
kpx_group_2,low_online_label_positive,12,10.43030466589571,5.99539549872308,1.078328811916979,0.4648804099472757,83.78515385347765,95.6555010604999,11.886234485396495,6.5397686985810495,5.5003379858352615,4.217254985451438,19.583333333333332,6.894771844512245,6.916666666666667,3.7769235516689394,6.583333333333333,5.316498049952761
kpx_group_2,moderate_residual,2261,7.344614457586138,3.748334874396281,1.0690854625581732,0.5631564270396558,145.4566139983354,108.97311729407949,7.73250799258876,4.918910474746552,3.763993168649791,2.4891263912957653,23.189296771340114,6.806392784385803,6.615656789031402,3.445852049843514,11.212737726669616,6.763340574865703
kpx_group_2,scada_under_label,1098,11.196672544962054,4.145323167719838,1.509774502870006,0.748111997561113,102.54054632069355,111.40294058345347,13.130936964357813,5.594596184016941,5.912079736600303,3.153695625052213,22.631147540983605,6.858753016329864,6.626593806921676,3.9994192218341147,10.669398907103826,6.738438682859747
kpx_group_2,scada_zero_label_positive,868,9.926051367388462,4.506892857866557,1.3354125958444027,0.6133413293097518,144.05129194133917,117.49783268769133,11.63381803622869,5.906292022377692,5.670529385751394,3.4188223061810383,22.794930875576036,6.93082459180156,4.311059907834101,3.4694271611977587,10.716589861751151,6.813911503116819
kpx_group_2,tight_reconstruction,21962,7.242633074373464,4.152497835423972,1.1066484703099593,0.6697279000956347,115.23460746936085,95.09443771822926,7.681036312931427,5.703054972901858,3.6654010171485405,2.3863965235325266,23.603997814406704,6.935438903298075,6.581094617976505,3.391155394061172,11.601903287496585,6.950298881636811
kpx_group_3,low_online_label_positive,260,11.09501358052071,5.044904161046993,1.6730117800520339,0.8154153889968765,105.56652016438359,110.48357026769598,13.334315210625556,7.885670879664873,5.899893285542006,4.0276255011278845,20.276923076923076,6.570103558260004,6.311538461538461,4.182037976805285,8.63076923076923,6.262147683861633
kpx_group_3,moderate_residual,2345,10.070902318147418,3.7459513430237052,1.4122980288335132,0.6817105991674038,80.81272185080469,89.06787621365379,11.61505584779352,5.293934600814515,4.914458516429179,2.7077770390283247,23.54413646055437,7.298244268395365,6.313006396588486,3.6527056048743605,11.438805970149254,7.296951905152431
kpx_group_3,scada_over_label,5,14.106831184131806,3.943138367984239,1.8769668422549983,0.5149525482192231,14.095134369385445,8.506731693179939,17.55552919158538,6.707006401706285,7.43474794917267,4.411120938972958,23.8,6.648308055437865,5.2,2.6832815729997477,12.8,6.648308055437865
kpx_group_3,scada_under_label,341,13.446712040515727,3.7239813272660522,2.003357197827022,0.7823252055752815,43.24640897030886,57.05662616877892,16.675843454215805,5.065143652818769,6.719836305570486,3.130637898285679,22.932551319648095,7.842090185124324,7.6950146627565985,4.556276060984674,10.806451612903226,7.750754385760595
kpx_group_3,scada_zero_label_positive,94,13.170772986698642,3.0149469642684377,2.036743862809862,0.878246180790165,29.030950113115093,42.345921397098586,16.460264503031986,4.85254943080646,5.761972664323737,1.8459000962922976,23.5531914893617,6.371335373063942,2.574468085106383,2.3804280888250466,11.787234042553191,6.391984800245585
kpx_group_3,tight_reconstruction,14493,6.700129435010586,3.9361916423798045,1.0331226240673133,0.6183170572673551,127.35331059483768,96.98133754097746,6.976320577936537,5.269789290420591,3.477555514992194,2.2769526096263517,23.563375422617817,6.834247910241652,6.555233561029462,3.356529055261232,11.574760229076105,6.844232383986833
