target,taxonomy,start,end,duration_hours,mean_abs_residual_ratio,event_ldaps_wind50_mean,before_ldaps_wind50_mean,after_ldaps_wind50_mean,event_gfs_wind850_mean,before_gfs_wind850_mean,after_gfs_wind850_mean,ldaps_event_minus_context,gfs_event_minus_context
kpx_group_2,scada_zero_label_positive,2022-01-31 13:00:00,2022-02-07 11:00:00,167,0.615550266966068,11.958003353415137,4.6626646668917395,6.52797363465107,14.881259613014723,5.608750022031974,5.035083985408529,6.362684202643733,9.559342609294472
kpx_group_3,scada_zero_label_positive,2024-02-12 14:00:00,2024-02-15 09:00:00,68,0.8126309614845939,13.655541421664541,9.187654664575687,5.792824231918966,17.53082688019129,9.967333855893775,5.037972108386773,6.165301973417215,10.028173898051017
kpx_group_2,scada_zero_label_positive,2022-02-14 21:00:00,2022-02-17 10:00:00,62,0.654449252538829,14.749502944701453,6.782602680281367,2.650781991311762,15.89768743908836,5.917413742265303,2.8518798814767963,10.032810608904889,11.513040627217311
kpx_group_2,scada_zero_label_positive,2022-02-20 16:00:00,2022-02-23 00:00:00,57,0.5547382277452891,12.99190807868281,12.917410509407134,7.803895363904757,17.540967938246066,12.413961920790902,8.876561233047513,2.6312551420268644,6.895706361326859
kpx_group_1,scada_zero_label_positive,2022-12-17 16:00:00,2022-12-19 20:00:00,53,0.4748155660377357,12.965193878234555,8.756886153839295,9.249718208683959,18.445164878554767,9.882063942585924,8.605070180736965,3.961891696972927,9.201597816893322
kpx_group_1,scada_zero_label_positive,2022-01-16 15:00:00,2022-01-18 13:00:00,47,0.5731373414105594,11.661338760865387,12.550967575089999,6.512513476923677,12.852726545799475,14.92680126630384,5.955503739109716,2.12959823485855,2.4115740430926973
kpx_group_1,scada_zero_label_positive,2022-12-14 04:00:00,2022-12-15 11:00:00,32,0.4953087543402778,13.859372801236475,17.941575031185693,12.135136119528596,20.050248293806156,20.89702129314991,13.733938855871708,-1.1789827741206693,2.734768219295347
kpx_group_1,scada_under_label,2022-08-03 07:00:00,2022-08-04 10:00:00,28,0.4056755076058201,10.318782519509579,11.643192951670132,8.232983313797412,10.647114427871434,13.345882370061977,5.652895648358888,0.3806943867758079,1.1477254186610022
kpx_group_1,scada_under_label,2023-01-20 12:00:00,2023-01-21 12:00:00,25,0.3942550481481481,10.04516622571231,14.887142571178522,5.2344482619314485,10.176971470785032,18.272190893317074,4.582108417352702,-0.015629190842675555,-1.2501781845498545
kpx_group_1,scada_zero_label_positive,2022-03-04 17:00:00,2022-03-05 16:00:00,24,0.4384144714506173,20.135499495104554,9.138516213991672,12.465286168014325,25.694606884318304,11.401062009846006,14.91232199220292,9.333598304101557,12.53791488329384
kpx_group_2,scada_under_label,2023-01-28 17:00:00,2023-01-29 14:00:00,22,0.3807433964646464,10.98420511408324,10.399708569823105,11.411919755668771,13.744942576618136,12.605531546806896,15.238869892060082,0.0783909513373029,-0.17725814281535257
kpx_group_1,scada_under_label,2022-12-06 10:00:00,2022-12-07 07:00:00,22,0.2760653682659932,15.400327868081286,9.56823786572552,14.282458907784127,20.21951464097305,11.249114285868158,19.40434329562093,3.4749794813264625,4.892785850228506
kpx_group_2,scada_zero_label_positive,2024-01-23 08:00:00,2024-01-24 04:00:00,21,0.1439456261022927,12.400236091714408,13.223195347566092,7.908506651322216,11.847363208481411,13.237409742030342,6.51530315340014,1.8343850922702547,1.9710067607661692
kpx_group_2,scada_under_label,2023-01-03 19:00:00,2023-01-04 14:00:00,20,0.3758677662037036,10.090843599222206,8.828770246823641,9.292926622220458,13.891431596314192,9.803463931779332,12.783463228703736,1.0299951647001553,2.5979680160726577
kpx_group_3,low_online_label_positive,2023-01-27 18:00:00,2023-01-28 13:00:00,20,0.0113141547619047,9.972878775637692,9.756424661889481,11.179378605489063,12.03831382379157,10.746733693108595,14.093267441598814,-0.4950228580515805,-0.38168674356213295
kpx_group_2,scada_under_label,2024-12-28 19:00:00,2024-12-29 12:00:00,18,0.3138429423868313,11.029321764757164,13.43565762241561,12.80264955545564,17.274803410634853,17.72908029508366,14.266171782081152,-2.089831824178461,1.2771773720524475
kpx_group_2,scada_zero_label_positive,2022-02-23 20:00:00,2022-02-24 12:00:00,17,0.560171653050109,7.074762651988856,8.627075362552523,11.752577234508784,8.817796704916915,9.428808646221738,12.589164739013532,-3.115063646541799,-2.191189987700719
kpx_group_1,scada_under_label,2023-12-24 20:00:00,2023-12-25 12:00:00,17,0.3651523883442266,9.447947505133655,6.419486192878221,12.770855441824045,14.03603650829812,7.724640258539355,14.843099200583062,-0.1472233122174771,2.7521667787369104
kpx_group_1,scada_under_label,2022-12-13 12:00:00,2022-12-14 03:00:00,16,0.4358863310185185,18.25860153336312,14.544977327657463,15.454616788387241,21.98551876083244,17.07129959513009,21.44988925720635,3.2588044753407672,2.724924334664223
kpx_group_1,scada_under_label,2022-08-11 19:00:00,2022-08-12 10:00:00,16,0.3586973061342592,11.548908480783766,12.97008899369687,6.1428037692543045,9.63712246762304,17.255338033202243,4.217939780979411,1.9924620993081792,-1.099516439467786
kpx_group_1,scada_under_label,2022-12-22 10:00:00,2022-12-23 01:00:00,16,0.333155703125,17.39629079599439,13.364187048671576,13.099872668140115,21.057676862091128,14.680301948270701,13.856863190782258,4.164260937588544,6.7890942925646485
kpx_group_1,scada_under_label,2022-06-25 19:00:00,2022-06-26 10:00:00,16,0.2982167968749999,12.614448097569431,11.988711231949466,12.287530441758278,13.738718459820127,14.510393321797123,16.164169354994204,0.47632726071555886,-1.5985628785755353
kpx_group_2,scada_zero_label_positive,2022-11-14 21:00:00,2022-11-15 11:00:00,15,0.7285592623456789,9.549157396356355,5.889011606558479,11.220397348245214,11.273500440273153,4.9669690635560215,12.840520014713647,0.9944529189545079,2.369755901138319
kpx_group_2,scada_zero_label_positive,2022-02-19 22:00:00,2022-02-20 12:00:00,15,0.5472341141975309,13.068761031277742,9.416428651698778,11.877288701015402,13.692175993447409,8.885711665710419,16.317695307426415,2.4219023549206504,1.0904725068789904
kpx_group_1,scada_under_label,2024-07-04 21:00:00,2024-07-05 11:00:00,15,0.3762451913580246,16.845175464842054,15.072738453833026,11.726009030821928,21.99554583093737,13.854538110846624,14.984406297039618,3.4458017225145774,7.5760736269942495
kpx_group_1,scada_under_label,2022-12-07 21:00:00,2022-12-08 11:00:00,15,0.3154508148148148,9.54901587211866,16.996762740316473,6.569314673090627,17.087023620750173,21.11254218344506,8.833803379801944,-2.2340228345848896,2.1138508391266697
kpx_group_2,moderate_residual,2022-04-14 20:00:00,2022-04-15 10:00:00,15,0.0501300185185184,6.798197986752403,8.530315570301752,4.247797271719498,5.421337552029119,7.228422889204679,5.5857242147041175,0.40914156574177785,-0.9857359999252795
kpx_group_1,scada_under_label,2022-06-26 19:00:00,2022-06-27 08:00:00,14,0.3435416302910052,13.552285189574851,12.127688694878037,12.541666677266733,18.449657850975743,13.543532717823737,17.014217061219753,1.2176075035024656,3.170782961453998
kpx_group_1,moderate_residual,2022-06-30 21:00:00,2022-07-01 10:00:00,14,0.0829397123015872,6.900610794039999,12.226570766067278,4.102305999045167,10.182449866690233,13.741656110483817,4.2001084559658235,-1.2638275885162225,1.2115675834654116
kpx_group_2,moderate_residual,2022-08-22 02:00:00,2022-08-22 15:00:00,14,0.0553847156084655,4.470772847960513,4.099127780119115,9.561714329245904,3.2371086211481037,1.642094876768355,8.24633921055312,-2.359648206721997,-1.7071084225126336
kpx_group_2,scada_zero_label_positive,2022-03-05 02:00:00,2022-03-05 14:00:00,13,0.7874900997150996,20.90852712459195,13.613336126737687,13.395005426123612,25.509047181174854,18.179104511356716,16.238550242700217,7.404356348161299,8.300219804146387
kpx_group_1,scada_zero_label_positive,2022-05-25 23:00:00,2022-05-26 11:00:00,13,0.5102280769230769,11.466733597796576,6.269749448092092,13.160153532530694,13.372793756601162,4.29171915972469,15.119140730118104,1.7517821074851838,3.667363811679765
kpx_group_2,scada_under_label,2024-11-29 22:00:00,2024-11-30 10:00:00,13,0.5021782941595442,14.211371087524897,13.543475460702297,11.51413346669644,18.465732609418744,18.604705486112824,14.66617881157334,1.6825666238255277,1.830290460575661
kpx_group_1,scada_under_label,2022-08-14 19:00:00,2022-08-15 07:00:00,13,0.3839618055555555,10.375066580117968,7.793695506599028,15.58585826442212,14.355758699180521,8.726728068146421,19.938611361455845,-1.3147103053926052,0.023088984379388222
kpx_group_1,scada_under_label,2023-06-28 22:00:00,2023-06-29 10:00:00,13,0.3557085398860399,10.065583701953667,11.150200691655868,11.401192861710138,11.559447552971799,12.514694938584858,12.707867513731784,-1.2101130747293354,-1.0518336731865237
kpx_group_2,scada_zero_label_positive,2022-06-06 04:00:00,2022-06-06 16:00:00,13,0.3139349928774928,3.6558959641587006,5.026311254434532,4.2844080193946965,9.043678540836513,5.741782513560783,8.688355565814627,-0.9994636727559136,1.828609501148808
kpx_group_2,moderate_residual,2023-12-16 15:00:00,2023-12-17 03:00:00,13,0.0623850249287748,20.024690251798475,9.706641126694477,12.965931534040505,27.014395290651137,13.613784360280425,16.08320160627796,8.688403921430984,12.165902307371944
kpx_group_1,moderate_residual,2022-07-29 20:00:00,2022-07-30 08:00:00,13,0.0603423717948717,4.349930315814398,3.8129965189962753,5.807589192060161,4.958363042670782,3.9789676798285813,7.34813077734351,-0.46036253971381935,-0.7051861859152639
kpx_group_1,moderate_residual,2022-04-17 13:00:00,2022-04-18 01:00:00,13,0.0523363283475783,6.9940080446324995,7.574532629464045,6.211015922395269,8.577978552809352,8.151312095777202,10.605773403425237,0.1012337687028424,-0.8005641967918677
kpx_group_2,scada_under_label,2022-12-28 03:00:00,2022-12-28 14:00:00,12,0.4192251080246913,15.218432500097895,7.16285338081594,13.695002957575761,17.172950052791386,7.024634642262465,18.79455458326351,4.789504330902044,4.263355440028398
kpx_group_1,scada_under_label,2023-07-25 22:00:00,2023-07-26 09:00:00,12,0.3588744753086419,7.802080757936674,10.1114219847013,5.993262284630806,8.945418256997543,9.815120068452805,4.989423989574622,-0.25026137672937754,1.5431462279838302
kpx_group_1,scada_under_label,2022-01-22 15:00:00,2022-01-23 02:00:00,12,0.3381631327160493,4.790363084363044,5.442219652268439,4.740752310681368,7.676955235684802,5.738732487055873,4.934973721223169,-0.3011228971118598,2.3401021315452812
kpx_group_1,scada_zero_label_positive,2023-12-17 07:00:00,2023-12-17 18:00:00,12,0.3267602353395061,12.862159963859066,19.639898009101596,9.999395379095608,16.85755849188848,25.126591874533432,8.952345789661692,-1.9574867302395358,-0.18191034020908248
