source,grid_id,target,wind_feature,spearman_corr,pearson_corr,n
ldaps,13,kpx_group_1,wind50max_speed,0.8075004374975355,0.7991619370318339,26200
ldaps,12,kpx_group_1,wind50max_speed,0.8037285173852957,0.7845505987701034,26200
ldaps,7,kpx_group_1,wind50max_speed,0.8017223810246111,0.785923829465674,26200
ldaps,8,kpx_group_1,wind50max_speed,0.8004798959834444,0.7909583625626637,26200
ldaps,16,kpx_group_1,wind50max_speed,0.7998071595672724,0.781362035800871,26200
ldaps,13,kpx_group_2,wind50max_speed,0.8127937663574298,0.8057654846983944,26201
ldaps,12,kpx_group_2,wind50max_speed,0.809509563398023,0.7921245571853611,26201
ldaps,7,kpx_group_2,wind50max_speed,0.8082756786804229,0.7943693005647745,26201
ldaps,8,kpx_group_2,wind50max_speed,0.8076582143002066,0.8000062190521842,26201
ldaps,16,kpx_group_2,wind50max_speed,0.8043377075765828,0.7882288125144528,26201
ldaps,13,kpx_group_3,wind50max_speed,0.8263124368994054,0.7918262348864035,17538
ldaps,12,kpx_group_3,wind50max_speed,0.8239621807706782,0.779542967112959,17538
ldaps,16,kpx_group_3,wind50max_speed,0.8211029513347495,0.7758558961634996,17538
ldaps,7,kpx_group_3,wind50max_speed,0.8208689601935052,0.7818780535171276,17538
ldaps,8,kpx_group_3,wind50max_speed,0.8202941724039403,0.7872756658031259,17538
