feature,source,stat,train_missing_rate,valid_missing_rate,test_missing_rate,train_unique,valid_unique,test_unique,near_constant,train_mean,valid_mean,test_mean,train_std,valid_std,test_std
ldaps_latitude_mean,ldaps,mean,0.0,0.0,0.0,1,1,1,True,37.28193125,37.28193125,37.28193125,0.0,0.0,0.0
ldaps_latitude_min,ldaps,min,0.0,0.0,0.0,1,1,1,True,37.260699999999986,37.26069999999999,37.260699999999986,1.4211260316638166e-14,7.105831844969764e-15,1.4211665999118697e-14
ldaps_latitude_max,ldaps,max,0.0,0.0,0.0,1,1,1,True,37.30319999999999,37.3032,37.30319999999999,7.105630158319083e-15,0.0,7.105832999559349e-15
ldaps_latitude_std,ldaps,std,0.0,0.0,0.0,1,1,1,True,0.014302807125406828,0.014302807125406828,0.014302807125406828,3.46954597574174e-18,3.4696444555516426e-18,3.469645019316088e-18
ldaps_longitude_mean,ldaps,mean,0.0,0.0,0.0,1,1,1,True,128.96071875000004,128.96071875000004,128.96071875000004,2.842252063327633e-14,2.8423327379879056e-14,2.8423331998237394e-14
ldaps_longitude_min,ldaps,min,0.0,0.0,0.0,1,1,1,True,128.9257,128.92569999999998,128.9257,0.0,2.8423327379879056e-14,0.0
ldaps_longitude_max,ldaps,max,0.0,0.0,0.0,1,1,1,True,128.99580000000003,128.9958,128.99580000000003,2.842252063327633e-14,0.0,2.8423331998237394e-14
ldaps_longitude_std,ldaps,std,0.0,0.0,0.0,1,1,1,True,0.02197180674561751,0.02197180674561751,0.021971806745617505,0.0,0.0,3.469645019316088e-18
ldaps_heightAboveGround_10_10u_mean,ldaps,mean,0.0,0.0,0.0,17518,8784,8759,False,2.9629208876679463,2.29201028945678,3.2736529524391376,4.123120483451412,4.426492664482929,4.192704140757125
ldaps_heightAboveGround_10_10u_min,ldaps,min,0.0,0.0,0.0,17510,8783,8758,False,1.4378602177535897,0.8484240202477346,1.7843071627328233,3.9230909251196717,4.215885709273266,4.055397384893291
ldaps_heightAboveGround_10_10u_max,ldaps,max,0.0,0.0,0.0,17505,8783,8758,False,4.139594111950494,3.4384010960652365,4.437523536817171,4.292033880312851,4.568106467400247,4.327245013252834
ldaps_heightAboveGround_10_10u_std,ldaps,std,0.0,0.0,0.0,17519,8784,8759,False,0.8283133333755631,0.8011495924686468,0.8136440301766354,0.44420666419175386,0.424953218307756,0.4420511289056411
ldaps_heightAboveGround_10_10v_mean,ldaps,mean,0.0,0.0,0.0,17519,8784,8759,False,0.48223357140609474,0.3118980440232439,0.49504474611222476,1.8056433827533651,1.940916118801108,1.758312045150028
ldaps_heightAboveGround_10_10v_min,ldaps,min,0.0,0.0,0.0,17482,8780,8754,False,-0.41631712793815345,-0.5396806995117975,-0.3751233236932627,1.7802869958195529,1.8750388893053471,1.7275925890799266
ldaps_heightAboveGround_10_10v_max,ldaps,max,0.0,0.0,0.0,17499,8775,8756,False,1.4283765183131132,1.2140781324392647,1.4182049335691196,1.8691278623261731,2.0277014267590476,1.837241212822129
ldaps_heightAboveGround_10_10v_std,ldaps,std,0.0,0.0,0.0,17519,8784,8759,False,0.5448307435650657,0.5162635267552421,0.5300003203133313,0.23847902470747961,0.22491964537769366,0.23658199408716102
ldaps_heightAboveGround_50_50MUmax_mean,ldaps,mean,0.0,0.0,0.00034250485215207214,17518,8784,8756,False,5.038715710026899,4.013036951346541,5.533504286686431,6.239869684590972,6.725311836890555,6.371235594170674
ldaps_heightAboveGround_50_50MUmax_min,ldaps,min,0.0,0.0,0.00034250485215207214,17511,8780,8756,False,2.8790908755813605,1.9865019326,3.388642775582606,5.768356660130779,6.243468054740885,5.989961626204217
ldaps_heightAboveGround_50_50MUmax_max,ldaps,max,0.0,0.0,0.00034250485215207214,17515,8783,8754,False,6.761160934124183,5.671055155329599,7.2543094125876655,6.638203801481578,7.07458468765939,6.6924828910733165
ldaps_heightAboveGround_50_50MUmax_std,ldaps,std,0.0,0.0,0.00034250485215207214,17519,8784,8756,False,1.2053298199673392,1.1495194708596612,1.1995550502179586,0.7049051867515591,0.6598369748859598,0.6834650937545267
ldaps_heightAboveGround_50_50MUmin_mean,ldaps,mean,0.0,0.0,0.00034250485215207214,17519,8784,8756,False,3.9399892791006934,2.9376388761573837,4.441908011729255,6.2573385095970595,6.682513632026431,6.393858222988053
ldaps_heightAboveGround_50_50MUmin_min,ldaps,min,0.0,0.0,0.00034250485215207214,17515,8782,8756,False,1.7696908208156328,0.9135914407125911,2.2885483449311788,5.757889067547854,6.178528560217503,5.983703180753178
ldaps_heightAboveGround_50_50MUmin_max,ldaps,max,0.0,0.0,0.00034250485215207214,17509,8784,8755,False,5.629828801155584,4.557010665754148,6.130629318733668,6.656084339281807,7.035173963652688,6.725443746369013
ldaps_heightAboveGround_50_50MUmin_std,ldaps,std,0.0,0.0,0.00034250485215207214,17519,8784,8756,False,1.199044641631647,1.1369185867573008,1.1925166422013307,0.7056688735120785,0.6633248767007038,0.6888756978616533
ldaps_heightAboveGround_50_50MVmax_mean,ldaps,mean,0.0,0.0,0.00034250485215207214,17519,8783,8756,False,1.2371778514934442,0.9615169374204229,1.2800967941472376,2.9093771121258225,3.086629363246609,2.8135481379529805
ldaps_heightAboveGround_50_50MVmax_min,ldaps,min,0.0,0.0,0.00034250485215207214,17502,8779,8753,False,0.1501766237153325,-0.06860397199983038,0.2030827059536615,2.881470682892758,3.005360815751261,2.7728191613941826
ldaps_heightAboveGround_50_50MVmax_max,ldaps,max,0.0,0.0,0.00034250485215207214,17504,8780,8749,False,2.343218779930346,2.0245325368302938,2.3765839060440155,2.9703560001665936,3.170100716741109,2.89032519596927
ldaps_heightAboveGround_50_50MVmax_std,ldaps,std,0.0,0.0,0.00034250485215207214,17519,8784,8756,False,0.6517137711855671,0.6183902145213216,0.6444395458949953,0.2995326667902661,0.2808295711390764,0.29159843653327616
ldaps_heightAboveGround_50_50MVmin_mean,ldaps,mean,0.0,0.0,0.00034250485215207214,17519,8784,8756,False,0.24537494815567645,-0.02126720746268541,0.2887046376438393,2.7999596705139242,3.0093067503534883,2.7321451695950136
ldaps_heightAboveGround_50_50MVmin_min,ldaps,min,0.0,0.0,0.00034250485215207214,17495,8781,8750,False,-0.8538092248674192,-1.0600332592343626,-0.7997743719945455,2.7619685644766516,2.921435726291779,2.674204483004401
ldaps_heightAboveGround_50_50MVmin_max,ldaps,max,0.0,0.0,0.00034250485215207214,17503,8782,8755,False,1.3366044641887296,1.0278812129142112,1.3695692715328587,2.8738596286893667,3.1068103030550436,2.8305411369824443
ldaps_heightAboveGround_50_50MVmin_std,ldaps,std,0.0,0.0,0.00034250485215207214,17519,8784,8756,False,0.6525242535982448,0.6196414220107042,0.6456063282221934,0.30052043348918195,0.2865079688843956,0.29653457836233427
ldaps_heightAboveGround_5_XBLWS_mean,ldaps,mean,0.0,0.0,0.0,17511,8782,8758,False,0.026534393909359414,0.02164140906921006,0.02802926459908694,0.07847702604928249,0.08404761098198857,0.087026618741076
ldaps_heightAboveGround_5_XBLWS_min,ldaps,min,0.0,0.0,0.0,17324,8750,8720,False,0.02359624168368987,0.018603800468146223,0.025135071431715023,0.0772114131226853,0.08246774630225226,0.08591536678290734
ldaps_heightAboveGround_5_XBLWS_max,ldaps,max,0.0,0.0,0.0,17309,8741,8727,False,0.02942818674279606,0.02465109968661817,0.03090984805729394,0.07978044746682712,0.08561418620495251,0.0881153633516496
ldaps_heightAboveGround_5_XBLWS_std,ldaps,std,0.0,0.0,0.0,17185,8665,8601,False,0.0018477363083986053,0.0019127136142512767,0.0018253096523379107,0.0028523577554711846,0.002892611226499439,0.0025007007404823133
ldaps_heightAboveGround_5_YBLWS_mean,ldaps,mean,0.0,0.0,0.00011416828405069072,17519,8784,8758,False,0.06618158455760235,0.04850969297322321,0.06631202979378904,0.29485370783453685,0.30108338234946264,0.27065676602728916
ldaps_heightAboveGround_5_YBLWS_min,ldaps,min,0.0,0.0,0.00011416828405069072,17493,8780,8751,False,-0.04785517051711801,-0.05772036445551377,-0.050597573202727675,0.2739130331601326,0.26706778492800815,0.24727811859671037
ldaps_heightAboveGround_5_YBLWS_max,ldaps,max,0.0,0.0,0.00011416828405069072,17492,8778,8754,False,0.17619577153229946,0.1529434763747344,0.1788046680409539,0.32683409496490945,0.34214819130863205,0.30623902813277304
