target,scope,rows,mean_ratio,std_ratio,zero_rate,near_zero_rate_lt_1pct,eligible_rate,high_generation_rate_ge_80pct,capacity_exceed_count,max_zero_run_hours,max_ratio,best_hour,worst_hour,hourly_mean_ratio_range,best_month,worst_month,monthly_mean_ratio_range
kpx_group_1,all_nonnull,26200,0.3065732002314815,0.30474273741317087,0.11454198473282443,0.19366412213740458,0.607442748091603,0.09267175572519085,0,169.0,0.9849678240740741,,,,,,
kpx_group_1,year_2022,8664,0.3037652359326374,0.28847759726859856,0.09545244690674054,0.17082179132040629,0.6251154201292706,0.06440443213296398,0,38.0,0.9842982407407408,,,,,,
kpx_group_1,year_2023,8757,0.32409357002228906,0.3139329006716362,0.10471622701838529,0.17311864793879184,0.6290967226219025,0.11750599520383694,0,85.0,0.9849678240740741,,,,,,
kpx_group_1,year_2024,8778,0.29179109477713644,0.31011140175173163,0.1431989063568011,0.23672818409660515,0.5683526999316473,0.09569377990430622,0,169.0,0.9842982407407408,,,,,,
kpx_group_1,year_2025,1,0.9662193055555556,,0.0,0.0,1.0,1.0,0,0.0,0.9662193055555556,,,,,,
kpx_group_1,eligible_hourly_range,15915,0.48895881685982245,0.2599819692972479,,,,0.15256047753691487,0,,0.9849678240740741,2.0,11.0,0.09381783968920943,,,
kpx_group_1,eligible_monthly_range,15915,0.48895881685982245,0.2599819692972479,,,,0.15256047753691487,0,,0.9849678240740741,,,,12.0,9.0,0.28379104917857223
kpx_group_2,all_nonnull,26201,0.3276316138608648,0.3241271327651151,0.11419411472844548,0.19434372733865118,0.6065035685660852,0.13224686080683942,0,161.0,0.9889853703703704,,,,,,
kpx_group_2,year_2022,8664,0.34817291400024797,0.33134008292648176,0.10030009233610342,0.17532317636195752,0.6278855032317636,0.15246999076638965,0,75.0,0.9889853703703704,,,,,,
kpx_group_2,year_2023,8758,0.33454210327277495,0.32278618222290306,0.10630280886047043,0.17378396894268097,0.625028545329984,0.13587577072390958,0,84.0,0.9869766203703704,,,,,,
kpx_group_2,year_2024,8778,0.30038730238896905,0.31628694701891186,0.13579403053087263,0.23365231259968103,0.5668717247664616,0.10856687172476646,0,161.0,0.9889853703703704,,,,,,
kpx_group_2,year_2025,1,0.986307037037037,,0.0,0.0,1.0,1.0,0,0.0,0.986307037037037,,,,,,
kpx_group_2,eligible_hourly_range,15891,0.5245296517508163,0.27229433811301396,,,,0.21804795167075702,0,,0.9889853703703704,3.0,16.0,0.11269262299985683,,,
kpx_group_2,eligible_monthly_range,15891,0.5245296517508163,0.27229433811301396,,,,0.21804795167075702,0,,0.9889853703703704,,,,12.0,9.0,0.31663746285235744
kpx_group_3,all_nonnull,17538,0.26494379281994473,0.2997420429195021,0.1622762002508838,0.26262971832592086,0.5367772836127267,0.08062492872619455,38,142.0,1.0062225714285713,,,,,,
kpx_group_3,year_2023,8759,0.26851784082766567,0.29542721092764623,0.14864710583399932,0.23918255508619704,0.5533736727936979,0.08014613540358488,11,77.0,1.004156380952381,,,,,,
kpx_group_3,year_2024,8778,0.26131908222395817,0.3039283365999843,0.17589428115743905,0.28605604921394395,0.5201640464798359,0.0811118705855548,27,142.0,1.0062225714285713,,,,,,
kpx_group_3,year_2025,1,0.7775669047619048,,0.0,0.0,1.0,0.0,0,0.0,0.7775669047619048,,,,,,
kpx_group_3,eligible_hourly_range,9414,0.4753871893077179,0.26660221860655625,,,,0.1502018270660718,38,,1.0062225714285713,0.0,14.0,0.08763440853635596,,,
kpx_group_3,eligible_monthly_range,9414,0.4753871893077179,0.26660221860655625,,,,0.1502018270660718,38,,1.0062225714285713,,,,11.0,9.0,0.32939102190181363
