kst_dtm,target,year,month,hour,actual,capacity,actual_ratio,violation_type
2023-01-11 06:00:00,kpx_group_3,2023,1,6,21058.358,21000.0,1.0027789523809525,capacity_exceed
2023-02-28 02:00:00,kpx_group_3,2023,2,2,21087.284,21000.0,1.004156380952381,capacity_exceed
2023-04-13 00:00:00,kpx_group_3,2023,4,0,21058.358,21000.0,1.0027789523809525,capacity_exceed
2023-04-13 02:00:00,kpx_group_3,2023,4,2,21058.358,21000.0,1.0027789523809525,capacity_exceed
2023-04-13 06:00:00,kpx_group_3,2023,4,6,21000.505,21000.0,1.0000240476190476,capacity_exceed
2023-07-14 18:00:00,kpx_group_3,2023,7,18,21072.821,21000.0,1.0034676666666666,capacity_exceed
2023-11-18 21:00:00,kpx_group_3,2023,11,21,21043.895,21000.0,1.0020902380952381,capacity_exceed
2023-11-21 21:00:00,kpx_group_3,2023,11,21,21072.821,21000.0,1.0034676666666666,capacity_exceed
2023-12-25 01:00:00,kpx_group_3,2023,12,1,21000.505,21000.0,1.0000240476190476,capacity_exceed
2023-12-26 01:00:00,kpx_group_3,2023,12,1,21000.505,21000.0,1.0000240476190476,capacity_exceed
2023-12-26 02:00:00,kpx_group_3,2023,12,2,21058.358,21000.0,1.0027789523809525,capacity_exceed
2024-01-02 11:00:00,kpx_group_3,2024,1,11,21043.895,21000.0,1.0020902380952381,capacity_exceed
2024-01-04 21:00:00,kpx_group_3,2024,1,21,21087.284,21000.0,1.004156380952381,capacity_exceed
2024-01-04 22:00:00,kpx_group_3,2024,1,22,21101.747,21000.0,1.0048450952380952,capacity_exceed
2024-01-08 21:00:00,kpx_group_3,2024,1,21,21072.821,21000.0,1.0034676666666666,capacity_exceed
2024-01-08 22:00:00,kpx_group_3,2024,1,22,21072.821,21000.0,1.0034676666666666,capacity_exceed
2024-01-09 01:00:00,kpx_group_3,2024,1,1,21087.284,21000.0,1.004156380952381,capacity_exceed
2024-01-11 03:00:00,kpx_group_3,2024,1,3,21130.674,21000.0,1.0062225714285713,capacity_exceed
2024-01-11 04:00:00,kpx_group_3,2024,1,4,21043.895,21000.0,1.0020902380952381,capacity_exceed
2024-01-11 05:00:00,kpx_group_3,2024,1,5,21130.674,21000.0,1.0062225714285713,capacity_exceed
2024-01-11 09:00:00,kpx_group_3,2024,1,9,21087.284,21000.0,1.004156380952381,capacity_exceed
2024-01-14 01:00:00,kpx_group_3,2024,1,1,21072.821,21000.0,1.0034676666666666,capacity_exceed
2024-01-14 03:00:00,kpx_group_3,2024,1,3,21072.821,21000.0,1.0034676666666666,capacity_exceed
2024-01-17 01:00:00,kpx_group_3,2024,1,1,21072.821,21000.0,1.0034676666666666,capacity_exceed
2024-02-12 22:00:00,kpx_group_3,2024,2,22,21043.895,21000.0,1.0020902380952381,capacity_exceed
2024-02-13 10:00:00,kpx_group_3,2024,2,10,21043.895,21000.0,1.0020902380952381,capacity_exceed
2024-02-13 22:00:00,kpx_group_3,2024,2,22,21087.284,21000.0,1.004156380952381,capacity_exceed
2024-02-13 23:00:00,kpx_group_3,2024,2,23,21130.674,21000.0,1.0062225714285713,capacity_exceed
2024-03-11 01:00:00,kpx_group_3,2024,3,1,21000.505,21000.0,1.0000240476190476,capacity_exceed
2024-03-14 00:00:00,kpx_group_3,2024,3,0,21116.211,21000.0,1.0055338571428571,capacity_exceed
2024-03-15 03:00:00,kpx_group_3,2024,3,3,21058.358,21000.0,1.0027789523809525,capacity_exceed
2024-03-15 04:00:00,kpx_group_3,2024,3,4,21058.358,21000.0,1.0027789523809525,capacity_exceed
2024-03-15 05:00:00,kpx_group_3,2024,3,5,21087.284,21000.0,1.004156380952381,capacity_exceed
2024-05-05 19:00:00,kpx_group_3,2024,5,19,21043.895,21000.0,1.0020902380952381,capacity_exceed
2024-05-10 01:00:00,kpx_group_3,2024,5,1,21014.968,21000.0,1.000712761904762,capacity_exceed
2024-10-23 17:00:00,kpx_group_3,2024,10,17,21014.968,21000.0,1.000712761904762,capacity_exceed
2024-11-04 02:00:00,kpx_group_3,2024,11,2,21043.895,21000.0,1.0020902380952381,capacity_exceed
2024-11-28 06:00:00,kpx_group_3,2024,11,6,21043.895,21000.0,1.0020902380952381,capacity_exceed
