source,grid_id,target,wind_feature,spearman_corr,pearson_corr,n
ldaps,1,kpx_group_1,wind10_speed,0.7276368697007005,0.695662897764465,26200
ldaps,1,kpx_group_1,wind50max_speed,0.736376376886924,0.6995331494620188,26200
ldaps,1,kpx_group_1,wind50min_speed,0.6701629869973708,0.6587658834467041,26200
ldaps,1,kpx_group_1,blwind_speed,0.5814550879777302,0.4871762724061429,26200
ldaps,1,kpx_group_2,wind10_speed,0.7394474859845753,0.7077259411437342,26201
ldaps,1,kpx_group_2,wind50max_speed,0.7481037031516017,0.7136712554159711,26201
ldaps,1,kpx_group_2,wind50min_speed,0.6841980513869184,0.6707059865068495,26201
ldaps,1,kpx_group_2,blwind_speed,0.6098001513516784,0.513572964101076,26201
ldaps,1,kpx_group_3,wind10_speed,0.7514331847868261,0.7054665145760269,17538
ldaps,1,kpx_group_3,wind50max_speed,0.7615767180611253,0.7115174946012799,17538
ldaps,1,kpx_group_3,wind50min_speed,0.6917846253792597,0.666625756817445,17538
ldaps,1,kpx_group_3,blwind_speed,0.6071812783711507,0.5269930395932113,17538
ldaps,2,kpx_group_1,wind10_speed,0.7764517241009534,0.7593514010288144,26200
ldaps,2,kpx_group_1,wind50max_speed,0.7821567530052277,0.7576743539795686,26200
ldaps,2,kpx_group_1,wind50min_speed,0.7456989022812996,0.737080196186025,26200
ldaps,2,kpx_group_1,blwind_speed,0.5702464795007512,0.49421354302464143,26200
ldaps,2,kpx_group_2,wind10_speed,0.7844838288924406,0.7677102164732315,26201
ldaps,2,kpx_group_2,wind50max_speed,0.7902553609681701,0.7682830738103086,26201
ldaps,2,kpx_group_2,wind50min_speed,0.7561641200444341,0.7458228930815125,26201
ldaps,2,kpx_group_2,blwind_speed,0.5978802792162057,0.5192926206675558,26201
ldaps,2,kpx_group_3,wind10_speed,0.7965700107278972,0.7583518465447504,17538
ldaps,2,kpx_group_3,wind50max_speed,0.802546025140441,0.75927181446554,17538
ldaps,2,kpx_group_3,wind50min_speed,0.7659506226094749,0.7350285821179721,17538
