target,month,hour,rows,eligible_rate,near_eval_threshold_rate,near_low_ficr_band_rate,mid_power_rate,high_power_rate,mean_ratio
kpx_group_1,1,0,93,0.7526881720430108,0.021505376344086023,0.11827956989247312,0.4731182795698925,0.24731182795698925,0.4760573466746316
kpx_group_1,1,1,93,0.7634408602150538,0.021505376344086023,0.13978494623655913,0.44086021505376344,0.25806451612903225,0.49727545051772204
kpx_group_1,1,2,93,0.7311827956989247,0.03225806451612903,0.13978494623655913,0.3978494623655914,0.3118279569892473,0.5150880017921147
kpx_group_1,1,3,93,0.7526881720430108,0.03225806451612903,0.11827956989247312,0.43010752688172044,0.2903225806451613,0.5194943423934686
kpx_group_1,1,4,93,0.7741935483870968,0.021505376344086023,0.13978494623655913,0.3978494623655914,0.3225806451612903,0.5416988306451613
kpx_group_1,1,5,93,0.7956989247311828,0.03225806451612903,0.11827956989247312,0.3870967741935484,0.3225806451612903,0.539625258363202
kpx_group_1,1,6,93,0.7849462365591398,0.043010752688172046,0.12903225806451613,0.40860215053763443,0.3010752688172043,0.5220863037634409
kpx_group_1,1,7,93,0.7741935483870968,0.06451612903225806,0.13978494623655913,0.4731182795698925,0.24731182795698925,0.5142240128434886
kpx_group_1,1,8,93,0.7526881720430108,0.021505376344086023,0.0967741935483871,0.45161290322580644,0.26881720430107525,0.49448908950617276
kpx_group_1,1,9,93,0.7741935483870968,0.010752688172043012,0.08602150537634409,0.4946236559139785,0.21505376344086022,0.47053502538829145
kpx_group_1,1,10,93,0.7526881720430108,0.053763440860215055,0.17204301075268819,0.5161290322580645,0.13978494623655913,0.4112726528275587
kpx_group_1,1,11,93,0.6881720430107527,0.03225806451612903,0.16129032258064516,0.4838709677419355,0.0967741935483871,0.35324866238550373
kpx_group_1,1,12,93,0.6451612903225806,0.053763440860215055,0.1827956989247312,0.4838709677419355,0.07526881720430108,0.3405192408403026
kpx_group_1,1,13,93,0.6344086021505376,0.010752688172043012,0.1827956989247312,0.5268817204301075,0.053763440860215055,0.3280058169056152
kpx_group_1,1,14,93,0.6559139784946236,0.043010752688172046,0.20430107526881722,0.46236559139784944,0.06451612903225806,0.32308108522500995
kpx_group_1,1,15,93,0.6344086021505376,0.021505376344086023,0.21505376344086022,0.4838709677419355,0.06451612903225806,0.32701223217841496
kpx_group_1,1,16,93,0.6236559139784946,0.043010752688172046,0.16129032258064516,0.4838709677419355,0.10752688172043011,0.3397128529470331
