target,year,month,rows,missing_rate,mean_ratio,p50_ratio,p90_ratio,zero_rate,eligible_10pct_rate,high_80pct_rate,capacity_exceed
kpx_group_1,2022,1,743,0.0,0.3709081566846119,0.35086550925925925,0.7847602314814814,0.09825033647375504,0.6998654104979811,0.0847913862718708,0
kpx_group_1,2022,2,672,0.0,0.4319098780588625,0.5410292361111111,0.7411698935185185,0.044642857142857144,0.7604166666666666,0.017857142857142856,0
kpx_group_1,2022,3,744,0.002688172043010753,0.2919424219451932,0.2340219212962963,0.7000570092592592,0.11424731182795698,0.6317204301075269,0.026881720430107527,0
kpx_group_1,2022,4,720,0.0,0.3480736766332304,0.26716666666666666,0.8084637592592593,0.034722222222222224,0.7125,0.1125,0
kpx_group_1,2022,5,744,0.0,0.35144418881919554,0.3049985416666667,0.7590479398148151,0.0456989247311828,0.7338709677419355,0.08333333333333333,0
kpx_group_1,2022,6,720,0.0,0.28073517650462965,0.1740935648148148,0.764069875,0.11805555555555555,0.5958333333333333,0.08333333333333333,0
kpx_group_1,2022,7,744,0.01478494623655914,0.09080580813248447,0.02946199074074074,0.2971643148148153,0.2163978494623656,0.28225806451612906,0.0,0
kpx_group_1,2022,8,744,0.0,0.26077405658851055,0.20757310185185185,0.6103318611111113,0.0739247311827957,0.614247311827957,0.0,0
kpx_group_1,2022,9,720,0.0,0.1902195412808642,0.09909939814814815,0.5909137361111113,0.16111111111111112,0.49722222222222223,0.04027777777777778,0
kpx_group_1,2022,10,744,0.11021505376344086,0.2104052053261721,0.06863303240740741,0.712980111111111,0.15188172043010753,0.385752688172043,0.06854838709677419,0
kpx_group_1,2022,11,720,0.0,0.31416727944958844,0.24406578703703702,0.7788008564814816,0.05555555555555555,0.6416666666666667,0.09583333333333334,0
kpx_group_1,2022,12,744,0.0,0.5001779106307248,0.5457163888888888,0.887140652777778,0.013440860215053764,0.8776881720430108,0.14919354838709678,0
kpx_group_1,2023,1,744,0.0,0.536210706765233,0.5855570138888888,0.9119824537037037,0.043010752688172046,0.8588709677419355,0.260752688172043,0
kpx_group_1,2023,2,672,0.0,0.301480197861552,0.15166229166666667,0.8467643379629629,0.19047619047619047,0.5625,0.12797619047619047,0
kpx_group_1,2023,3,744,0.0,0.32456696448128236,0.23469150462962962,0.816699712962963,0.07795698924731183,0.6518817204301075,0.11021505376344086,0
kpx_group_1,2023,4,720,0.0,0.3962451431970164,0.32910381944444445,0.8752219166666667,0.04583333333333333,0.7166666666666667,0.16944444444444445,0
kpx_group_1,2023,5,744,0.0,0.26304742333731584,0.16170613425925925,0.717466365740741,0.07258064516129033,0.592741935483871,0.06720430107526881,0
kpx_group_1,2023,6,720,0.0,0.2249052673611111,0.13492252314814815,0.6597476805555557,0.10277777777777777,0.5527777777777778,0.04027777777777778,0
kpx_group_1,2023,7,744,0.004032258064516129,0.26681786518468537,0.13793569444444445,0.7050789351851852,0.12768817204301075,0.5497311827956989,0.04973118279569892,0
kpx_group_1,2023,8,744,0.0,0.15125368578255674,0.046871342592592596,0.5208075972222223,0.20161290322580644,0.396505376344086,0.004032258064516129,0
kpx_group_1,2023,9,720,0.0,0.12957322929526752,0.06193715277777778,0.3424956250000001,0.1986111111111111,0.39305555555555555,0.019444444444444445,0
kpx_group_1,2023,10,744,0.0,0.2751090547839506,0.17777631944444444,0.6593459166666666,0.11021505376344086,0.5913978494623656,0.051075268817204304,0
kpx_group_1,2023,11,720,0.0,0.5464222346322016,0.6099970833333334,0.9248385925925926,0.02361111111111111,0.8569444444444444,0.2791666666666667,0
kpx_group_1,2023,12,744,0.0,0.4710966164501195,0.4687134490740741,0.9089023240740741,0.06854838709677419,0.8172043010752689,0.2325268817204301,0
kpx_group_1,2024,1,744,0.0,0.3914243298237754,0.3455087731481482,0.9298605138888889,0.2271505376344086,0.6303763440860215,0.2056451612903226,0
kpx_group_1,2024,2,696,0.0,0.22071862601106854,0.0013391666666666667,0.8118786574074074,0.46264367816091956,0.3649425287356322,0.10201149425287356,0
kpx_group_1,2024,3,744,0.0,0.3693026393244724,0.30298976851851855,0.8517193055555555,0.06720430107526881,0.7473118279569892,0.13844086021505375,0
kpx_group_1,2024,4,720,0.0,0.21525479102366252,0.12889618055555557,0.5949312777777779,0.08472222222222223,0.5597222222222222,0.019444444444444445,0
kpx_group_1,2024,5,744,0.0,0.3650276985638192,0.3063377083333333,0.8607587592592594,0.053763440860215055,0.717741935483871,0.13440860215053763,0
kpx_group_1,2024,6,720,0.0,0.17926801478909465,0.08403363425925926,0.5410292592592593,0.12916666666666668,0.4583333333333333,0.009722222222222222,0
kpx_group_1,2024,7,744,0.008064516129032258,0.42421289138562684,0.4717266203703704,0.8130169537037042,0.07526881720430108,0.7204301075268817,0.11021505376344086,0
kpx_group_1,2024,8,744,0.0,0.14012444089755077,0.025109652777777776,0.5236868518518519,0.18413978494623656,0.33736559139784944,0.008064516129032258,0
kpx_group_1,2024,9,720,0.0,0.12244673791152264,0.04921493055555555,0.35113334259259266,0.18055555555555555,0.3958333333333333,0.004166666666666667,0
kpx_group_1,2024,10,744,0.0,0.18399342841497413,0.08102046296296296,0.6019619907407407,0.135752688172043,0.45564516129032256,0.03494623655913978,0
kpx_group_1,2024,11,720,0.0,0.27028398244598767,0.0816900462962963,0.8263418194444445,0.12361111111111112,0.475,0.11388888888888889,0
kpx_group_1,2024,12,744,0.0,0.6036629650786539,0.6766213425925927,0.8923634305555556,0.012096774193548387,0.9274193548387096,0.2594086021505376,0
kpx_group_1,2025,1,1,0.0,0.9662193055555556,0.9662193055555556,0.9662193055555556,0.0,1.0,1.0,0
kpx_group_2,2022,1,743,0.0,0.4186554661407706,0.37162282407407404,0.8991263148148149,0.0955585464333782,0.6958277254374159,0.22611036339165544,0
kpx_group_2,2022,2,672,0.0,0.45368651971726187,0.5383508796296297,0.8209181481481481,0.05357142857142857,0.7440476190476191,0.13988095238095238,0
kpx_group_2,2022,3,744,0.002688172043010753,0.37083229278975743,0.2936154861111111,0.8763602453703704,0.16129032258064516,0.6411290322580645,0.16532258064516128,0
kpx_group_2,2022,4,720,0.0,0.40042636509773666,0.29964180555555553,0.9167365416666666,0.0375,0.7291666666666666,0.21666666666666667,0
kpx_group_2,2022,5,744,0.0,0.366133784037734,0.29093715277777776,0.8203155092592593,0.04435483870967742,0.7298387096774194,0.12231182795698925,0
kpx_group_2,2022,6,720,0.0,0.313435380465535,0.21326462962962964,0.8343769120370371,0.09861111111111111,0.6097222222222223,0.11944444444444445,0
kpx_group_2,2022,7,744,0.01478494623655914,0.11261820303420746,0.031470740740740744,0.3645251481481483,0.20833333333333334,0.28360215053763443,0.006720430107526882,0
kpx_group_2,2022,8,744,0.0,0.34858042873855033,0.2521008796296296,0.8294219351851851,0.07795698924731183,0.6303763440860215,0.12231182795698925,0
kpx_group_2,2022,9,720,0.0,0.22145222543724283,0.10512574074074074,0.700458763888889,0.16805555555555557,0.5097222222222222,0.06944444444444445,0
kpx_group_2,2022,10,744,0.11021505376344086,0.23475625363656707,0.05992835648148148,0.8634371342592589,0.15456989247311828,0.385752688172043,0.11155913978494623,0
kpx_group_2,2022,11,720,0.0,0.32664212551440325,0.21862134259259258,0.8292210324074074,0.07083333333333333,0.6333333333333333,0.11666666666666667,0
kpx_group_2,2022,12,744,0.0,0.6010224012470131,0.7332017592592592,0.9171382916666667,0.01478494623655914,0.8723118279569892,0.3897849462365591,0
kpx_group_2,2023,1,744,0.0,0.5497717183144166,0.6310891898148148,0.9140581944444445,0.04838709677419355,0.8602150537634409,0.260752688172043,0
kpx_group_2,2023,2,672,0.0,0.286311776069224,0.12822662037037036,0.8412067037037035,0.19196428571428573,0.5342261904761905,0.12053571428571429,0
kpx_group_2,2023,3,744,0.0,0.3377382800054759,0.20020761574074075,0.8698651990740742,0.08333333333333333,0.6344086021505376,0.16129032258064516,0
kpx_group_2,2023,4,720,0.0,0.4201485992155349,0.3739663657407407,0.9032777777777777,0.044444444444444446,0.7138888888888889,0.2111111111111111,0
kpx_group_2,2023,5,744,0.0,0.2759469438221824,0.1563494212962963,0.7571061481481483,0.06989247311827956,0.581989247311828,0.07526881720430108,0
kpx_group_2,2023,6,720,0.0,0.2357070655221193,0.1392748611111111,0.6622251388888889,0.1,0.5458333333333333,0.05416666666666667,0
kpx_group_2,2023,7,744,0.002688172043010753,0.29882242094689027,0.16605847222222223,0.7946031990740741,0.135752688172043,0.5752688172043011,0.09274193548387097,0
kpx_group_2,2023,8,744,0.0,0.16453300004978097,0.059593564814814814,0.5684824583333339,0.20833333333333334,0.41801075268817206,0.016129032258064516,0
kpx_group_2,2023,9,720,0.0,0.13849924466306587,0.05858918981481481,0.3931166805555556,0.18055555555555555,0.4041666666666667,0.0125,0
kpx_group_2,2023,10,744,0.0,0.2829173469235364,0.16505409722222222,0.7346078842592594,0.12365591397849462,0.5806451612903226,0.06451612903225806,0
kpx_group_2,2023,11,720,0.0,0.5324473202803498,0.6143494212962963,0.8779002916666667,0.02638888888888889,0.8430555555555556,0.26666666666666666,0
kpx_group_2,2023,12,744,0.0,0.48653140071186773,0.5159195833333334,0.927851763888889,0.06854838709677419,0.7983870967741935,0.29301075268817206,0
kpx_group_2,2024,1,744,0.0,0.37596614701563125,0.2959590509259259,0.8972514814814816,0.16263440860215053,0.6774193548387096,0.1827956989247312,0
kpx_group_2,2024,2,696,0.0,0.23270776128139634,0.0013391666666666667,0.8557368287037037,0.46551724137931033,0.3764367816091954,0.1336206896551724,0
kpx_group_2,2024,3,744,0.0,0.3583641924905417,0.29495467592592595,0.8129500000000002,0.06182795698924731,0.7190860215053764,0.10483870967741936,0
kpx_group_2,2024,4,720,0.0,0.22249288117283952,0.13894006944444443,0.5927216481481482,0.09027777777777778,0.5652777777777778,0.008333333333333333,0
kpx_group_2,2024,5,744,0.0,0.3661769823402031,0.3200643287037037,0.8122134722222223,0.05913978494623656,0.706989247311828,0.10887096774193548,0
kpx_group_2,2024,6,720,0.0,0.18901241878858027,0.08503800925925926,0.5651344907407407,0.11527777777777778,0.4791666666666667,0.018055555555555554,0
kpx_group_2,2024,7,744,0.008064516129032258,0.44952305505369866,0.5366768981481482,0.8260070277777779,0.07661290322580645,0.706989247311828,0.15053763440860216,0
kpx_group_2,2024,8,744,0.0,0.14771133481431703,0.027453194444444447,0.5609160879629633,0.1975806451612903,0.32123655913978494,0.009408602150537635,0
kpx_group_2,2024,9,720,0.0,0.1417290885416667,0.05992835648148148,0.4252570046296296,0.15833333333333333,0.42083333333333334,0.001388888888888889,0
kpx_group_2,2024,10,744,0.0,0.18250844894962168,0.06762865740740741,0.6306204537037041,0.12903225806451613,0.42338709677419356,0.051075268817204304,0
kpx_group_2,2024,11,720,0.0,0.2756918569315844,0.07566375,0.8649102407407409,0.11944444444444445,0.45555555555555555,0.13472222222222222,0
kpx_group_2,2024,12,744,0.0,0.647579651346575,0.7462587731481483,0.9251733842592592,0.012096774193548387,0.9220430107526881,0.3911290322580645,0
kpx_group_2,2025,1,1,0.0,0.986307037037037,0.986307037037037,0.986307037037037,0.0,1.0,1.0,0
kpx_group_3,2022,1,743,1.0,,,,0.0,0.0,0.0,0
kpx_group_3,2022,2,672,1.0,,,,0.0,0.0,0.0,0
kpx_group_3,2022,3,744,1.0,,,,0.0,0.0,0.0,0
kpx_group_3,2022,4,720,1.0,,,,0.0,0.0,0.0,0
kpx_group_3,2022,5,744,1.0,,,,0.0,0.0,0.0,0
kpx_group_3,2022,6,720,1.0,,,,0.0,0.0,0.0,0
kpx_group_3,2022,7,744,1.0,,,,0.0,0.0,0.0,0
kpx_group_3,2022,8,744,1.0,,,,0.0,0.0,0.0,0
kpx_group_3,2022,9,720,1.0,,,,0.0,0.0,0.0,0
kpx_group_3,2022,10,744,1.0,,,,0.0,0.0,0.0,0
kpx_group_3,2022,11,720,1.0,,,,0.0,0.0,0.0,0
kpx_group_3,2022,12,744,1.0,,,,0.0,0.0,0.0,0
kpx_group_3,2023,1,744,0.0013440860215053765,0.42904124085111833,0.42563009523809525,0.8288078190476191,0.0739247311827957,0.8185483870967742,0.12231182795698925,1
